first_day_in_week,last_day_in_week,HOD_main_symb_weekly_mean_diff,PHOE.TA_weekly_mean_diff_0.48
2019-03-10,2019-03-16,-0.7999992370605469,3.2739990234375
2019-03-17,2019-03-23,-11.599998474121096,4.42998046875
2019-03-24,2019-03-30,-40.19998550415039,-51.233984375
2019-03-31,2019-04-06,-3.200016021728561,26.5800048828125
2019-04-07,2019-04-13,-4.200000762939409,14.63798828125
2019-04-14,2019-04-20,1.4000129699706576,-5.9699951171875
2019-04-21,2019-04-27,3.799991607666016,7.126000976562454
2019-04-28,2019-05-04,5.7999992370606375,-7.319995117187455
2019-05-05,2019-05-11,0.2000045776366733,1.5419921875
2019-05-12,2019-05-18,7.999992370605469,32.166015625
2019-05-19,2019-05-25,-3.5999870300293417,6.547998046875
2019-05-26,2019-06-01,-13.400001525878814,-4.430029296875
2019-06-02,2019-06-08,-4.400005340576216,-16.177978515625
2019-06-09,2019-06-15,-7.000007629394531,0.77001953125
2019-06-16,2019-06-22,13.200016021728564,20.223974609375
2019-06-23,2019-06-29,5.1999855041503,-22.535986328125
2019-06-30,2019-07-06,-12.199993133544874,8.089990234375
2019-07-07,2019-07-13,-3.4000015258789062,-2.69599609375
2019-07-14,2019-07-20,7.800006866455032,-1.733984375
2019-07-21,2019-07-27,-7.20001220703125,0.961962890625
2019-07-28,2019-08-03,-8.79999160766597,3.08203125
2019-08-04,2019-08-10,4.799995422363237,-20.802001953125
2019-08-11,2019-08-17,10.200004577636765,-5.7780029296875
2019-08-18,2019-08-24,-6.0000038146972665,14.4459716796875
2019-08-25,2019-08-31,7.20001220703125,1.156005859375
2019-09-01,2019-09-07,15.799999237060547,4.622021484375
2019-09-08,2019-09-14,11.500000953674315,5.777978515625
2019-09-15,2019-09-21,6.399993896484375,12.52252197265625
2019-09-22,2019-09-28,13.99998664855957,8.2
2019-09-29,2019-10-05,-11.666647593180336,-20.5
2019-10-06,2019-10-12,-8.000024159749271,0.3333333333333333
2019-10-13,2019-10-19,-3.9999961853028094,22.333333333333332
2019-10-20,2019-10-26,-20.200004577636765,-4.0
2019-10-27,2019-11-02,-15.799999237060547,-14.6
2019-11-03,2019-11-09,4.8000144958497,-30.8
2019-11-10,2019-11-16,0.5999946594237826,1.2
2019-11-17,2019-11-23,12.999992370605517,3.6
2019-11-24,2019-11-30,5.0,31.0
2019-12-01,2019-12-07,41.000003814697216,-1.4
2019-12-08,2019-12-14,-7.999992370605469,-9.2
2019-12-15,2019-12-21,23.999977111816268,-13.4
2019-12-22,2019-12-28,-3.40000152587877,6.4
2019-12-29,2020-01-04,-7.79998779296875,-0.8
2020-01-05,2020-01-11,5.600013732910156,-20.0
2020-01-12,2020-01-18,13.800010681152346,0.2
2020-01-19,2020-01-25,8.199996948242188,-0.6
2020-01-26,2020-02-01,-29.600009918212933,-16.2
2020-02-02,2020-02-08,9.200000762939364,-8.4
2020-02-09,2020-02-15,-8.600006103515486,15.2
2020-02-16,2020-02-22,-25.40000915527344,7.8
2020-02-23,2020-02-29,-22.999978065490726,-42.6
2020-03-01,2020-03-07,-82.50000476837158,-60.5
2020-03-08,2020-03-14,-11.35999679565432,-72.25
2020-03-15,2020-03-21,2.1799850463867188,4.6
2020-03-22,2020-03-28,22.580013275146467,54.4
2020-03-29,2020-04-04,34.333324432373125,10.8
2020-04-05,2020-04-11,5.3333282470703125,7.666666666666667
2020-04-12,2020-04-18,21.60000228881836,11.333333333333334
2020-04-19,2020-04-25,-10.666666666666666,32.8
2020-04-26,2020-05-02,0.6,12.666666666666666
2020-05-03,2020-05-09,-21.8,-26.6
2020-05-10,2020-05-16,5.2,-34.2
2020-05-17,2020-05-23,5.5,16.0
2020-05-24,2020-05-30,15.8,7.5
2020-05-31,2020-06-06,-18.75,-28.0
2020-06-07,2020-06-13,-5.8,11.25
2020-06-14,2020-06-20,4.2,12.6
2020-06-21,2020-06-27,-10.600009155273435,-44.2
2020-06-28,2020-07-04,-7.399990844726562,3.399999237060547
2020-07-05,2020-07-11,-0.8,-5.599999237060547
2020-07-12,2020-07-18,-2.4,22.2
2020-07-19,2020-07-25,18.25,4.2
