first_day_in_week,last_day_in_week,IBI_main_symb_weekly_mean_diff,ATRY.TA_weekly_mean_diff_0.39_INT_ZUR.TA_weekly_mean_diff_0.38_corr_0.75,OPAL.TA_weekly_mean_diff_0.48_INT_ZUR.TA_weekly_mean_diff_0.38_corr_0.71,PHOE.TA_weekly_mean_diff_0.48_INT_HARL.TA_weekly_mean_diff_0.53_corr_0.81,SHOM.TA_weekly_mean_diff_0.54,ZUR.TA_weekly_mean_diff_0.38_INT_CLIS.TA_weekly_mean_diff_0.52_corr_0.72,ALRPR.TA_weekly_mean_diff_0.54_INT_MRIN.TA_weekly_mean_diff_0.4_corr_0.72,SHOM.TA_weekly_mean_diff_0.54_INT_MRIN.TA_weekly_mean_diff_0.4_corr_0.72,ALRPR.TA_weekly_mean_diff_0.54_INT_OPAL.TA_weekly_mean_diff_0.48_corr_0.72,MGDL.TA_weekly_mean_diff_0.39_INT_CLIS.TA_weekly_mean_diff_0.52_corr_0.77,MRIN.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.48_corr_0.74
2019-03-10,2019-03-16,8.0,28.160000000000004,2.9040026855469003,-28.81119140625,-0.6,89.32000000000001,222.71953125000147,-2.087995605468764,84.48007812500073,16.240000000000002,4.593594580069254
2019-03-17,2019-03-23,-12.8,20.52,3.8159912109375003,-22.14990234375,1.44000244140625,-84.24,-0.0,-0.86400146484375,0.0,14.04,-1.2719970703124999
2019-03-24,2019-03-30,20.2,-182.4,2.07998046875,1537.01953125,3.3,433.6,-349.60000000000053,-25.080000000000034,-11.959887695312501,157.18,1.975981445312503
2019-03-31,2019-04-06,16.2,-102.0,-46.67999267578125,813.3481494140625,5.05999755859375,-202.79999999999998,83.51997070312487,35.217570654302776,93.3599853515625,118.29999999999998,54.14877250976852
2019-04-07,2019-04-13,-7.4,216.0,19.1520263671875,606.0127148437499,6.34000244140625,434.88,14.0,-6.34000244140625,-37.24005126953125,235.56,-2.660003662109375
2019-04-14,2019-04-20,0.0,42.64,-0.8840063476562501,40.595966796875,2.479998779296875,-106.60000000000001,327.60021972656455,9.027201611325202,-30.600219726562504,40.17994995117187,-1.2376097168028433
2019-04-21,2019-04-27,16.0,-12.8,6.8,32.77960449218729,1.979998779296875,-63.2,39.48010253906218,5.583611059561327,23.8,-34.12796142578125,4.794012451171836
2019-04-28,2019-05-04,-20.4,176.12,26.491990966796877,142.00790527343662,-5.0,-695.6,7.0,0.5,250.59991455078125,189.88011474609374,0.3579998779296875
2019-05-05,2019-05-11,37.8,56.0,-3.100006103515625,-14.803125,4.620001220703125,775.0,-115.2,-14.784003906250001,-22.320043945312502,133.299621582033,1.9840039062500001
2019-05-12,2019-05-18,-23.0,-15.840000000000002,0.044002685546875,1164.409765625,-1.620001220703125,-8.36,-21.96013183593709,1.9764133545010913,-0.36002197265624997,2.8880139160155816,0.02440163575112774
2019-05-19,2019-05-25,-1.6,-816.64,-20.88,-72.027978515625,8.74000244140625,1104.32,163.83984374999855,22.374384912103217,57.6,-27.607941894531255,2.303997802734355
2019-05-26,2019-06-01,-50.4,-290.4,5.5,-32.782216796875005,-6.54000244140625,554.4,2154.959399414063,85.93560812987387,82.0,160.2719384765625,6.569998168945313
2019-06-02,2019-06-08,30.4,4.800000000000001,-0.36000000000000004,87.361083984375,4.8,-1.6800000000000002,-115.2000732421875,18.432011718749997,-54.0,-30.40801025390625,6.91200439453125
2019-06-09,2019-06-15,1.2,-176.0,8.8,-1.69404296875,-3.820001220703125,146.08,-535.7601806640624,13.82840908203274,-148.0,-6.640000000000001,3.620001220703125
2019-06-16,2019-06-22,-10.4,7.28,-0.8159985351562501,84.940693359375,-0.639996337890625,24.880000000000003,342.0,-2.431986083984375,-183.59967041015628,74.64,-7.7519860839843755
2019-06-23,2019-06-29,-6.0,41.0,9.0,301.982216796875,3.35999755859375,-60.0,62.4000244140625,-10.48319648437202,-36.0,12.0,-5.616002197265625
2019-06-30,2019-07-06,-4.6,146.64000000000001,11.33599365234375,38.831953125,1.0599975585937613,26.0,936.3598022460975,6.126784594729632,706.3196044921875,66.0,25.20078056640933
2019-07-07,2019-07-13,16.4,8.4,-20.328010253906253,-3.7743945312499996,-0.5,-26.880000000000003,125.39999999999999,-0.95,159.72008056640627,8.32,4.598002319335937
2019-07-14,2019-07-20,-13.0,531.1798095703134,5.175581518560657,36.413671875,-0.6399963378906364,762.7197265625013,-76.16174316405709,-0.20480351559816698,90.43970947265625,225.12006835937498,-0.12160239256917564
2019-07-21,2019-07-27,23.6,346.1916992187514,6.968773364275722,19.431650390625,5.95999755859375,136.00388183593805,-83.63991699218673,14.6615794433652,-42.159875488281244,101.15597045898464,3.0503879638761
2019-07-28,2019-08-03,-16.2,-33.0,-3.7200073242187504,25.8890625,1.94000244140625,109.80000000000001,-285.7598144531233,-7.29440444335337,94.240185546875,225.45591064453166,-4.662406152337761
2019-08-04,2019-08-10,-9.2,69.26407226562468,3.837609716802817,174.73681640625,-4.520001220703125,256.4642675781238,-555.3605712890625,16.091220898441968,-127.9201904296875,460.32,2.9192073486372827
2019-08-11,2019-08-17,-2.4,66.55193115234397,0.7079992675781273,48.53522460937501,1.14000244140625,396.4795898437513,54.719860839843754,-0.5471997802704572,11.4,135.52006835937502,0.047999877929687504
2019-08-18,2019-08-24,25.2,405.84723388672114,-25.219952392578275,228.24635253906249,6.119995117187523,3.879992675781273,-22.40039062499909,-1.713628515601095,-520.0,3.060003662109375,1.8200317382811761
