first_day_in_week,last_day_in_week,QLTU_main_symb_weekly_mean_diff,HARL.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,-3.4,-8.8
2019-03-17,2019-03-23,3.0,-5.0
2019-03-24,2019-03-30,27.6,-30.0
2019-03-31,2019-04-06,3.4,30.6
2019-04-07,2019-04-13,0.8,41.4
2019-04-14,2019-04-20,1.2,-6.8
2019-04-21,2019-04-27,-17.4,4.6
2019-04-28,2019-05-04,3.0,-19.4
2019-05-05,2019-05-11,-5.2,-9.6
2019-05-12,2019-05-18,7.6,36.2
2019-05-19,2019-05-25,-12.2,-11.0
2019-05-26,2019-06-01,-4.8,7.4
2019-06-02,2019-06-08,-1.6,-5.4
2019-06-09,2019-06-15,1.6,-2.2
2019-06-16,2019-06-22,-9.6,4.2
2019-06-23,2019-06-29,2.6,-13.4
2019-06-30,2019-07-06,11.2,4.8
2019-07-07,2019-07-13,-11.8,1.4
2019-07-14,2019-07-20,11.8,-21.0
2019-07-21,2019-07-27,32.2,20.2
2019-07-28,2019-08-03,-12.8,8.4
2019-08-04,2019-08-10,-14.4,-8.4
2019-08-11,2019-08-17,21.0,-8.4
2019-08-18,2019-08-24,17.8,15.8
2019-08-25,2019-08-31,19.0,2.4
2019-09-01,2019-09-07,38.2,20.8
2019-09-08,2019-09-14,-16.0,9.4
2019-09-15,2019-09-21,4.8,14.25
2019-09-22,2019-09-28,6.5,12.8
2019-09-29,2019-10-05,21.0,-18.0
2019-10-06,2019-10-12,8.333333333333334,-9.0
2019-10-13,2019-10-19,7.0,11.0
2019-10-20,2019-10-26,6.2,-5.666666666666667
2019-10-27,2019-11-02,-2.6,-31.8
2019-11-03,2019-11-09,-25.0,0.2
2019-11-10,2019-11-16,3.8,6.4
2019-11-17,2019-11-23,41.8,7.8
2019-11-24,2019-11-30,-13.0,9.2
2019-12-01,2019-12-07,-12.2,-26.8
2019-12-08,2019-12-14,-10.2,-13.2
2019-12-15,2019-12-21,12.8,-6.6
2019-12-22,2019-12-28,29.8,2.4
2019-12-29,2020-01-04,-6.8,-6.2
2020-01-05,2020-01-11,8.2,-31.4
2020-01-12,2020-01-18,2.0,8.8
2020-01-19,2020-01-25,-5.0,-1.2
2020-01-26,2020-02-01,-28.4,-40.2
2020-02-02,2020-02-08,0.4,-3.4
2020-02-09,2020-02-15,9.4,3.8
2020-02-16,2020-02-22,-38.8,21.6
2020-02-23,2020-02-29,-21.5,-81.4
2020-03-01,2020-03-07,-133.75,-65.75
2020-03-08,2020-03-14,-13.2,-82.75
2020-03-15,2020-03-21,36.0,29.0
2020-03-22,2020-03-28,14.0,37.0
2020-03-29,2020-04-04,-2.6666666666666665,-8.6
2020-04-05,2020-04-11,-9.0,9.0
2020-04-12,2020-04-18,39.2,55.0
2020-04-19,2020-04-25,69.33333333333333,38.6
2020-04-26,2020-05-02,3.4,34.333333333333336
2020-05-03,2020-05-09,-7.0,-21.0
2020-05-10,2020-05-16,45.4,-29.6
2020-05-17,2020-05-23,34.0,32.6
2020-05-24,2020-05-30,6.0,3.75
2020-05-31,2020-06-06,28.25,-22.8
2020-06-07,2020-06-13,0.4,1.0
2020-06-14,2020-06-20,-4.4,16.8
2020-06-21,2020-06-27,-8.00000762939444,-31.0
2020-06-28,2020-07-04,-34.19999237060556,17.800013732910248
2020-07-05,2020-07-11,6.0,-10.200013732910246
2020-07-12,2020-07-18,19.6,-4.0
2020-07-19,2020-07-25,-2.5,21.4
