first_day_in_week,last_day_in_week,KEN_main_symb_weekly_mean_diff,DIMRI.TA_weekly_mean_diff_-0.36,ICCM.TA_weekly_mean_diff_0.36,JBNK.TA_weekly_mean_diff_0.37,PTX.TA_weekly_mean_diff_0.55
2019-03-10,2019-03-16,47.2,0.2,0.29954071044921876,3.4199951171875,-0.5799995422363281
2019-03-17,2019-03-23,-52.0,16.6,-0.5192001342773438,1.560009765625,0.0
2019-03-24,2019-03-30,-27.6,0.4,-1.0583602905273437,-3.34000244140625,-0.6599998474121094
2019-03-31,2019-04-06,55.0,95.2,-2.1167205810546874,3.45999755859375,-1.0200004577636705
2019-04-07,2019-04-13,3.4,49.2,0.53916015625,1.05999755859375,0.22000045776367044
2019-04-14,2019-04-20,13.2,-18.2,-0.1197998046875,10.82000732421875,-0.04000015258789062
2019-04-21,2019-04-27,-50.6,5.6,0.0399200439453125,3.0199951171875,-0.24000015258789062
2019-04-28,2019-05-04,35.6,-5.2,-1.1582000732421875,-1.4199951171875,-0.21999969482421874
2019-05-05,2019-05-11,39.8,-3.2,1.118280029296875,0.6199951171875,0.11999969482421875
2019-05-12,2019-05-18,21.6,16.8,-2.2365402221679673,0.74000244140625,-0.08000030517578267
2019-05-19,2019-05-25,-95.0,5.6,-0.07987976074218892,2.1199951171875,0.04000015258789347
2019-05-26,2019-06-01,-2.0,-29.8,-0.4393196105957031,-10.0,0.1400001525878892
2019-06-02,2019-06-08,73.4,-50.6,1.0982994079589843,-9.8,-0.7599998474121101
2019-06-09,2019-06-15,29.6,-11.6,-0.8986000061035171,0.02000732421875,0.0799999237060561
2019-06-16,2019-06-22,29.0,80.8,-0.31949996948242043,8.539990234375,-0.24000015258789134
2019-06-23,2019-06-29,-40.0,74.0,1.777239990234375,3.060009765625,0.16000022888183524
2019-06-30,2019-07-06,-5.8,26.8,0.6589797973632813,2.3199951171875,0.3199996948242202
2019-07-07,2019-07-13,-24.0,39.4,-1.058359527587892,-2.35999755859375,-0.41999969482422017
2019-07-14,2019-07-20,-7.8,18.8,0.53916015625,2.45999755859375,0.03999977111816477
2019-07-21,2019-07-27,46.6,86.6,-0.818740081787108,-9.05999755859375,-0.5399997711181648
2019-07-28,2019-08-03,-5.4,-42.6,-0.1197998046875,3.27999267578125,0.01999969482422017
2019-08-04,2019-08-10,-16.8,53.2,0.0,0.02000732421875,-1.0199996948242194
2019-08-11,2019-08-17,23.2,5.8,-0.619040679931642,4.25999755859375,-0.2
2019-08-18,2019-08-24,15.2,111.4,-0.3195198059082017,2.95999755859375,0.3599998474121094
2019-08-25,2019-08-31,-43.2,-51.6,0.47926025390625,-7.5199951171875,-0.1799999237060547
2019-09-01,2019-09-07,-39.4,-63.6,0.698919677734375,3.14000244140625,0.059999847412109376
2019-09-08,2019-09-14,19.25,64.2,0.3394805908203125,-0.1,-0.039999771118164065
2019-09-15,2019-09-21,-44.8,71.25,-0.3763008117675781,3.5749969482421875,-0.5750002861022949
2019-09-22,2019-09-28,12.0,144.8,-0.01999969482421875,4.0,-0.07999992370605469
2019-09-29,2019-10-05,116.66666666666669,-20.0,-0.8500003814697266,-4.25,-0.19999980926513672
2019-10-06,2019-10-12,120.0,-120.0,-0.16666666666666666,5.23333740234375,0.2999998728434245
2019-10-13,2019-10-19,18.33333333333333,246.66666666666666,0.0,2.79998779296875,0.09999974568684895
2019-10-20,2019-10-26,1.0,64.33333333333333,-0.1999994913736979,-0.0333251953125,-0.2666664123535156
2019-10-27,2019-11-02,-38.0,-22.6,-0.8,-4.74000244140625,0.07999992370605469
2019-11-03,2019-11-09,24.0,-100.0,0.7400001525878892,1.65999755859375,1.0
2019-11-10,2019-11-16,-29.8,-69.8,0.039999389648438924,-0.2199951171875,-0.3
2019-11-17,2019-11-23,-50.2,125.8,-0.37999954223632815,-0.34000244140625,-0.03999977111816477
2019-11-24,2019-11-30,-32.2,214.0,-0.4,-6.1800048828125,-0.14000015258788992
2019-12-01,2019-12-07,31.0,-127.4,0.37999954223632815,7.3800048828125,-0.3
2019-12-08,2019-12-14,41.0,39.4,-0.4,3.4,-0.3
2019-12-15,2019-12-21,-19.6,-62.0,0.020000457763671875,3.0199951171875,0.12000007629394531
2019-12-22,2019-12-28,29.6,64.0,2.2199996948242187,5.8800048828125,-0.04000015258789062
2019-12-29,2020-01-04,-25.8,112.0,1.679999542236328,-4.8800048828125,0.04000015258789062
2020-01-05,2020-01-11,46.0,44.0,-0.579998779296875,7.9800048828125,-0.12000007629394531
2020-01-12,2020-01-18,-10.0,40.0,1.179998779296875,1.3,0.2799999237060547
2020-01-19,2020-01-25,-83.6,100.0,0.6400009155273437,0.85999755859375,0.12000007629394531
2020-01-26,2020-02-01,-86.2,-4.0,-1.3,-0.7,0.1799999237060547
2020-02-02,2020-02-08,-64.0,154.0,0.18000030517578125,-9.57999267578125,0.0
2020-02-09,2020-02-15,8.2,118.0,-1.0,2.55999755859375,0.2799999237060554
2020-02-16,2020-02-22,-132.4,114.0,-0.040000915527340905,-1.72000732421875,0.0
2020-02-23,2020-02-29,-52.0,-286.0,-1.2000000000000028,-7.0,-0.3599998474121101
2020-03-01,2020-03-07,-283.75,90.0,-0.375,-8.349990844726562,-0.4250001907348633
2020-03-08,2020-03-14,39.6,-425.0,-3.8999996185302734,-33.350006103515625,-1.5999999046325684
2020-03-15,2020-03-21,214.4,-102.0,-1.4599998474121094,-18.64000244140625,-0.4
2020-03-22,2020-03-28,-109.0,168.0,0.8799995422363281,11.1,-0.13999996185302735
2020-03-29,2020-04-04,184.33333333333331,-214.0,1.8,11.360009765625,0.33999996185302733
2020-04-05,2020-04-11,-31.66666666666667,126.66666666666667,2.100001017252602,7.866658528645833,0.16666666666666666
2020-04-12,2020-04-18,43.8,96.66666666666667,-1.9000002543131487,5.099995930989583,-0.4333330790201823
2020-04-19,2020-04-25,422.0,-48.0,3.2599998474121095,12.0800048828125,18.779999923706054
2020-04-26,2020-05-02,36.8,106.66666666666667,0.3333333333333333,-3.23333740234375,1.6666666666666667
2020-05-03,2020-05-09,-52.8,-50.0,-0.2,0.7,1.0800003051757812
2020-05-10,2020-05-16,100.4,-90.6,-1.4599998474121094,-5.9,1.1399993896484375
2020-05-17,2020-05-23,-76.75,146.6,1.4599998474121094,5.5,-5.289959716796875
2020-05-24,2020-05-30,93.0,2.5,-0.5499992370605469,-5.4250030517578125,-2.597475051879883
2020-05-31,2020-06-06,-123.0,-118.0,-0.3000007629394531,2.1800048828125,-4.152059936523438
2020-06-07,2020-06-13,65.4,-159.75,-0.22499942779541193,6.6999969482421875,0.350000381469723
2020-06-14,2020-06-20,-110.4,127.8,-0.42000045776367045,-5.8199951171875,-0.9400001525878878
2020-06-21,2020-06-27,68.40003051757813,-170.0,-0.47999954223632957,1.07999267578125,0.15999984741210938
2020-06-28,2020-07-04,-218.0000305175781,67.2,-11.566200304031371,-151.43279752731323,0.04000015258789062
2020-07-05,2020-07-11,174.2,-250.2,11.28619999885559,135.83279752731323,0.3
2020-07-12,2020-07-18,-22.4,265.0,-0.1,3.95999755859375,-0.8599998474121108
2020-07-19,2020-07-25,-3.5,5.4,1.5199996948242216,0.8800048828125,-0.22000045776367044
