first_day_in_week,last_day_in_week,DIMRI_main_symb_weekly_mean_diff,BCNV.TA_weekly_mean_diff_0.37,ENRG.TA_weekly_mean_diff_0.39,JBNK.TA_weekly_mean_diff_0.41,ANGL.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,16.6,86.0,9.779998779296875,3.4199951171875,15.6
2019-03-17,2019-03-23,0.4,236.0,5.9800048828125,1.560009765625,2.6
2019-03-24,2019-03-30,95.2,90.0,-2.32000732421875,-3.34000244140625,-13.4
2019-03-31,2019-04-06,49.2,148.0,0.9800048828125,3.45999755859375,79.0
2019-04-07,2019-04-13,-18.2,200.0,2.2199951171875,1.05999755859375,-2.2
2019-04-14,2019-04-20,5.6,-370.0,-0.0199951171875,10.82000732421875,-25.0
2019-04-21,2019-04-27,-5.2,-42.0,6.15999755859375,3.0199951171875,-5.4
2019-04-28,2019-05-04,-3.2,-292.0,-1.1800048828125,-1.4199951171875,-21.4
2019-05-05,2019-05-11,16.8,4.0,3.7800048828125,0.6199951171875,-10.0
2019-05-12,2019-05-18,5.6,82.0,5.54000244140625,0.74000244140625,-7.4
2019-05-19,2019-05-25,-29.8,48.0,-0.2800048828125,2.1199951171875,16.8
2019-05-26,2019-06-01,-50.6,-130.0,-0.47999267578125,-10.0,110.6
2019-06-02,2019-06-08,-11.6,-496.0,4.2,-9.8,-27.0
2019-06-09,2019-06-15,80.8,-394.0,-0.5800048828125,0.02000732421875,-11.6
2019-06-16,2019-06-22,74.0,-310.0,5.2800048828125,8.539990234375,19.2
2019-06-23,2019-06-29,26.8,446.0,3.9199951171875,3.060009765625,4.6
2019-06-30,2019-07-06,39.4,108.0,3.9800048828125,2.3199951171875,73.6
2019-07-07,2019-07-13,18.8,18.0,0.0,-2.35999755859375,10.8
2019-07-14,2019-07-20,86.6,-236.0,-5.3,2.45999755859375,69.0
2019-07-21,2019-07-27,-42.6,-270.0,1.25999755859375,-9.05999755859375,-9.6
2019-07-28,2019-08-03,53.2,432.0,-4.14000244140625,3.27999267578125,9.2
2019-08-04,2019-08-10,5.8,102.0,15.1800048828125,0.02000732421875,25.8
2019-08-11,2019-08-17,111.4,-582.0,-10.62000732421875,4.25999755859375,-38.2
2019-08-18,2019-08-24,-51.6,396.0,21.64000244140625,2.95999755859375,44.2
2019-08-25,2019-08-31,-63.6,18.0,0.0,-7.5199951171875,-20.0
2019-09-01,2019-09-07,64.2,86.0,3.7800048828125,3.14000244140625,3.4
2019-09-08,2019-09-14,71.25,-354.0,-19.7800048828125,-0.1,-14.6
2019-09-15,2019-09-21,144.8,242.5,11.475006103515625,3.5749969482421875,1.25
2019-09-22,2019-09-28,-20.0,1340.0,9.2199951171875,4.0,1.0
2019-09-29,2019-10-05,-120.0,-945.0,-3.850006103515625,-4.25,-244.0
2019-10-06,2019-10-12,246.66666666666663,866.6666666666666,13.866678873697916,5.23333740234375,270.3333333333333
2019-10-13,2019-10-19,64.33333333333333,646.6666666666666,-1.9666748046875,2.79998779296875,-19.333333333333332
2019-10-20,2019-10-26,-22.6,-250.0,7.866658528645833,-0.0333251953125,-9.666666666666666
2019-10-27,2019-11-02,-100.0,-346.0,4.14000244140625,-4.74000244140625,-4.4
2019-11-03,2019-11-09,-69.8,-306.0,2.5599975585937726,1.65999755859375,55.8
2019-11-10,2019-11-16,125.8,-318.0,-9.219995117187523,-0.2199951171875,0.8
2019-11-17,2019-11-23,214.0,40.0,8.8,-0.34000244140625,79.6
2019-11-24,2019-11-30,-127.4,12.0,7.6,-6.1800048828125,-5.6
2019-12-01,2019-12-07,39.4,-590.0,-3.580004882812477,7.3800048828125,-64.2
2019-12-08,2019-12-14,-62.0,574.0,4.9,3.4,-9.2
2019-12-15,2019-12-21,64.0,78.0,-0.6,3.0199951171875,0.6
2019-12-22,2019-12-28,112.0,-302.0,12.680004882812478,5.8800048828125,37.0
2019-12-29,2020-01-04,44.0,-160.0,10.4,-4.8800048828125,-43.0
2020-01-05,2020-01-11,40.0,12.0,16.6,7.9800048828125,23.4
2020-01-12,2020-01-18,100.0,-74.0,11.0,1.3,30.8
2020-01-19,2020-01-25,-4.0,-18.0,-1.4,0.85999755859375,28.8
2020-01-26,2020-02-01,154.0,-320.0,1.4,-0.7,4.8
2020-02-02,2020-02-08,118.0,204.0,-2.0,-9.57999267578125,10.8
2020-02-09,2020-02-15,114.0,-174.0,6.4,2.55999755859375,76.0
2020-02-16,2020-02-22,-286.0,350.0,3.8,-1.72000732421875,-89.6
2020-02-23,2020-02-29,90.0,-334.0,-13.0,-7.0,49.2
2020-03-01,2020-03-07,-425.0,-527.5,-9.75,-8.349990844726562,-58.75
2020-03-08,2020-03-14,-102.0,-1485.0,-57.0,-33.350006103515625,108.25
2020-03-15,2020-03-21,168.0,-36.0,19.6,-18.64000244140625,7.0
2020-03-22,2020-03-28,-214.0,410.0,-1.0,11.1,56.4
2020-03-29,2020-04-04,126.66666666666669,108.0,-0.4,11.360009765625,-6.6
2020-04-05,2020-04-11,96.66666666666669,1220.0,38.666666666666664,7.866658528645833,-109.33333333333333
2020-04-12,2020-04-18,-48.0,-606.6666666666666,24.333333333333332,5.099995930989583,0.0
2020-04-19,2020-04-25,106.66666666666669,54.0,-17.8,12.0800048828125,56.4
2020-04-26,2020-05-02,-50.0,563.3333333333334,33.333333333333336,-3.23333740234375,2.0
2020-05-03,2020-05-09,-90.6,-560.0,-7.2,0.7,-157.2
2020-05-10,2020-05-16,146.6,-516.0,3.2,-5.9,137.0
2020-05-17,2020-05-23,2.5,-96.0,30.8,5.5,-113.2
2020-05-24,2020-05-30,-118.0,42.5,-2.5,-5.4250030517578125,-65.25
2020-05-31,2020-06-06,-159.75,76.0,9.2,2.1800048828125,47.6
2020-06-07,2020-06-13,127.8,-287.5,20.5,6.6999969482421875,2.0
2020-06-14,2020-06-20,-170.0,-164.0,-4.4,-5.8199951171875,-1.0
2020-06-21,2020-06-27,67.2,-274.0,-17.6,1.07999267578125,-9.2
2020-06-28,2020-07-04,-250.2,-4560.9,-269.65599994659425,-151.43279752731323,-190.40001525878898
2020-07-05,2020-07-11,265.0,4166.9,262.45599994659426,135.83279752731323,51.00001525878897
2020-07-12,2020-07-18,5.4,446.0,10.4,3.95999755859375,-18.6
2020-07-19,2020-07-25,-37.5,258.0,2.0,0.8800048828125,20.8
