first_day_in_week,last_day_in_week,ILDC_main_symb_weekly_mean_diff,HLMS.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.54_corr_0.71
2019-03-10,2019-03-16,-7.4,117.759765625
2019-03-17,2019-03-23,-13.0,-0.0
2019-03-24,2019-03-30,-4.8,323.840112304687
2019-03-31,2019-04-06,59.0,85.91997070312513
2019-04-07,2019-04-13,10.2,9.51998291015641
2019-04-14,2019-04-20,-2.6,244.80010986328125
2019-04-21,2019-04-27,7.4,-26.319982910156252
2019-04-28,2019-05-04,9.6,453.59991455078125
2019-05-05,2019-05-11,-6.2,-38.88017578124959
2019-05-12,2019-05-18,-11.0,-44.27995605468771
2019-05-19,2019-05-25,-21.6,-21.760156249999273
2019-05-26,2019-06-01,-31.6,-62.32080078124813
2019-06-02,2019-06-08,43.8,26.40014648437466
2019-06-09,2019-06-15,0.2,390.7203613281233
2019-06-16,2019-06-22,-6.8,-16.19989013671875
2019-06-23,2019-06-29,30.4,-158.79992675781273
2019-06-30,2019-07-06,17.2,-534.6
2019-07-07,2019-07-13,-52.0,-343.2
2019-07-14,2019-07-20,47.8,252.2794189453152
2019-07-21,2019-07-27,35.2,-53.71995849609375
2019-07-28,2019-08-03,24.0,183.92009277343752
2019-08-04,2019-08-10,-66.8,37.440380859375
2019-08-11,2019-08-17,12.6,421.8
2019-08-18,2019-08-24,-12.8,20.7998046875
2019-08-25,2019-08-31,-5.8,89.76008300781251
2019-09-01,2019-09-07,22.2,-0.0
2019-09-08,2019-09-14,-14.25,65.52004394531251
2019-09-15,2019-09-21,-0.2,-16.625289916992188
2019-09-22,2019-09-28,-18.0,24.79998779296875
2019-09-29,2019-10-05,81.0,-3.99993896484375
2019-10-06,2019-10-12,29.66666666666667,1425.000508626302
2019-10-13,2019-10-19,-12.0,-18.22218153211818
2019-10-20,2019-10-26,0.6,-111.0003662109358
2019-10-27,2019-11-02,-13.4,24.0
2019-11-03,2019-11-09,-26.8,-638.5197509765637
2019-11-10,2019-11-16,42.2,143.6398681640631
2019-11-17,2019-11-23,-1.8,-33.28012695312441
2019-11-24,2019-11-30,7.6,1005.840161132811
2019-12-01,2019-12-07,60.8,-16.5999755859375
2019-12-08,2019-12-14,60.4,20.0
2019-12-15,2019-12-21,42.6,-82.9600830078125
2019-12-22,2019-12-28,2.8,54.6
2019-12-29,2020-01-04,66.0,-273.599853515625
2020-01-05,2020-01-11,-1.2,147.839892578125
2020-01-12,2020-01-18,-46.0,944.6789794921922
2020-01-19,2020-01-25,11.2,-87.36020507812404
2020-01-26,2020-02-01,136.4,365.199462890625
2020-02-02,2020-02-08,52.4,-233.1198486328125
2020-02-09,2020-02-15,2.6,-28.2000732421875
2020-02-16,2020-02-22,-104.0,-79.68081054687312
2020-02-23,2020-02-29,-97.0,5080.8
2020-03-01,2020-03-07,-436.75,7631.74728393556
2020-03-08,2020-03-14,-144.2,32948.54846954347
2020-03-15,2020-03-21,152.4,276.44805969238246
2020-03-22,2020-03-28,94.8,3850.895310058594
2020-03-29,2020-04-04,155.0,1786.7399999999998
2020-04-05,2020-04-11,-100.33333333333331,425.24419487847223
2020-04-12,2020-04-18,-63.6,1377.5
2020-04-19,2020-04-25,-80.0,-0.724044189453125
2020-04-26,2020-05-02,17.8,5119.20263671875
2020-05-03,2020-05-09,-77.8,536.3642321777344
2020-05-10,2020-05-16,17.8,909.344306640625
2020-05-17,2020-05-23,-17.5,105.82000000000001
2020-05-24,2020-05-30,11.2,-0.0
2020-05-31,2020-06-06,11.0,-43.520019531250185
2020-06-07,2020-06-13,-26.0,-149.53207969665527
2020-06-14,2020-06-20,-13.2,-234.048134765625
2020-06-21,2020-06-27,-57.99998931884775,15.31559936523562
2020-06-28,2020-07-04,-42.400010681152246,91.52006042466382
2020-07-05,2020-07-11,27.6,121.64436881254285
2020-07-12,2020-07-18,-28.6,9.407998046875036
2020-07-19,2020-07-25,-10.5,-0.7279968261718455
