first_day_in_week,last_day_in_week,PWFL_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.61_INT_NSTR.TA_weekly_mean_diff_0.51_corr_0.83,MSHR.TA_weekly_mean_diff_0.36_INT_SKLN.TA_weekly_mean_diff_0.48_corr_0.89,NSTR.TA_weekly_mean_diff_0.51_INT_LAPD.TA_weekly_mean_diff_0.38_corr_0.83,PTBL.TA_weekly_mean_diff_0.47_INT_NSTR.TA_weekly_mean_diff_0.51_corr_0.82,SKBN.TA_weekly_mean_diff_0.39_INT_MZTF.TA_weekly_mean_diff_0.41_corr_0.83,SKLN.TA_weekly_mean_diff_0.48_INT_AVIV.TA_weekly_mean_diff_0.43_corr_0.84,SNCM.TA_weekly_mean_diff_0.41_INT_SKLN.TA_weekly_mean_diff_0.48_corr_0.88,ZUR.TA_weekly_mean_diff_0.49_INT_POLI.TA_weekly_mean_diff_0.35_corr_0.84
2020-05-10,2020-05-16,78.4,2121.996665039062,149.856123046875,1934.0399999999997,81175.2,2632.2799999999997,262.08,44.01599487304687,1167.9998779296875
2020-05-17,2020-05-23,-8.5,44.208017578125,-0.0,-48.0,91.2,-730.0,-0.0,0.0,725.7599999999999
2020-05-24,2020-05-30,18.2,-40.85052490234375,-113.90005111694336,3440.0,27520.0,-140.0,251.25,10.88749361038214,82.5562629699707
2020-05-31,2020-06-06,-31.25,-1332.92,188.93594482421878,198.52,44525.200000000004,-128.52,-113.0,31.64,46.016015625
2020-06-07,2020-06-13,19.2,-2134.350311279297,-73.4249496459961,2575.5,-35955.0,10197.0,111.375,-1.8562531471252441,-151.44992065429688
2020-06-14,2020-06-20,-4.8,-389.75999999999993,162.30406250000001,-424.55999999999995,13363.199999999999,7583.84,378.88000000000005,-26.1119921875,294.5160791015625
2020-06-21,2020-06-27,-40.20000228881836,164.64000000000001,587.0160681152344,148.96,-980.0000000000001,430.52,502.2,89.28,-60.42
2020-06-28,2020-07-04,-3.799997711181641,256.32005493164064,5.400077819824219,-726.2403729248513,9256.010675050638,2328.4807968136683,-122.99986267089844,-12.000005722045898,42.64006324762945
2020-07-05,2020-07-11,-11.6,160.92783813480287,282.359797668457,813.1998406981955,8474.391754152284,-140.16040557890798,444.599642944336,4.680002975463867,238.4758527374509
2020-07-12,2020-07-18,16.2,-104.832041015625,313.63194091796873,184.8,4670.400000000001,-722.16,474.32,0.0,4.048022460937709
2020-07-19,2020-07-25,-12.5,-636.5600000000001,-37.82396484375,-1927.1200000000001,-28950.4,59.519999999999996,-61.44,-7.488002929687499,-24.839978027343818
