first_day_in_week,last_day_in_week,PWFL_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.61_INT_NSTR.TA_weekly_mean_diff_0.51_corr_0.83,MSHR.TA_weekly_mean_diff_0.36_INT_SKLN.TA_weekly_mean_diff_0.48_corr_0.89,NSTR.TA_weekly_mean_diff_0.51_INT_LAPD.TA_weekly_mean_diff_0.38_corr_0.83,PTBL.TA_weekly_mean_diff_0.47_INT_NSTR.TA_weekly_mean_diff_0.51_corr_0.82,SKBN.TA_weekly_mean_diff_0.39_INT_MZTF.TA_weekly_mean_diff_0.41_corr_0.83,SKLN.TA_weekly_mean_diff_0.48_INT_AVIV.TA_weekly_mean_diff_0.43_corr_0.84,SNCM.TA_weekly_mean_diff_0.41_INT_SKLN.TA_weekly_mean_diff_0.48_corr_0.88,ZUR.TA_weekly_mean_diff_0.49_INT_POLI.TA_weekly_mean_diff_0.35_corr_0.84
2019-10-06,2019-10-12,-32.0,155.7113104926212,954.6446058485242,-255.39841037326386,3713.111111111111,1776.6666666666667,171.88888888888886,85.94444444444443,-13.222222222222223
2019-10-13,2019-10-19,47.33333333333334,306.66639539930554,261.09991455078125,742.9999457465278,10547.743055555557,-0.0,539.0,41.299957275390625,472.33333333333337
2019-10-20,2019-10-26,-33.8,-25.555419921876265,75.199951171875,-499.11024305555554,-3276.6927083333335,73.77777777777777,124.0,1.20001220703125,158.66666666666669
2019-10-27,2019-11-02,13.6,186.60021972656182,-6.048017578124918,209.580322265625,6083.390625,-5.04,27.36,0.576002197265625,-103.60000000000001
2019-11-03,2019-11-09,-16.4,101.67196533203123,-31.02,292.86078613281245,-4920.86578125,-170.0,5.28,2.5079919433593747,144.72000000000003
2019-11-10,2019-11-16,-10.2,-59.1680419921875,153.50394287109427,161.68,-887.8693749999999,187.20000000000002,163.79999999999998,-12.16795715332031,-90.72
2019-11-17,2019-11-23,23.2,311.8914599609375,22.78402343749993,-641.4799999999999,12028.873281249998,-72.52,14.719999999999999,-1.792001953125,142.76000000000002
2019-11-24,2019-11-30,-11.6,29.24,-5.37603515624989,-401.2,-275.67093750000004,1750.3199999999997,99.84,3.07201171875,133.56
2019-12-01,2019-12-07,6.2,-11.648012695312499,83.60000000000001,225.68,-1136.8256250000002,11.559999999999999,98.8,96.5200927734375,92.96000000000001
2019-12-08,2019-12-14,8.2,152.21652587890622,-5.236091308592899,560.04,10482.8,-32.64,403.92,-44.879999999999995,211.68000000000004
2019-12-15,2019-12-21,0.0,-10.799999999999999,23.599975585937727,-176.4,4104.0,-201.60000000000002,-42.0,5.5999755859375,1.2
2019-12-22,2019-12-28,38.4,4.36798095703125,5.7919921875,-1.56,145.6,-225.60000000000002,-14.4,-2.9439990234375,-4.64
2019-12-29,2020-01-04,-8.6,24.2640087890625,186.8398681640629,-38.16,1778.4,307.8,583.1999999999999,20.519989013671875,118.4
2020-01-05,2020-01-11,118.8,583.632041015625,22.247973632812627,221.76,-2755.2000000000003,211.20000000000002,70.2,5.831993408203125,31.799999999999997
2020-01-12,2020-01-18,-14.2,2521.488383789059,257.24,5784.959999999999,-1886.3999999999999,-328.0,155.76,1.4159783935546875,21.840000000000003
2020-01-19,2020-01-25,-50.6,63.47966308593855,-9.52,2686.4,4048.0,822.48,295.12,-8.16,192.4
2020-01-26,2020-02-01,2.2,1968.5437353515626,107.2,3750.6400000000003,-5420.0,-380.52,59.2,-9.7599853515625,-9.12
2020-02-02,2020-02-08,12.8,2627.52,313.2,2220.88,20019.2,91.44,-38.28,-42.10802124023437,215.04000000000002
2020-02-09,2020-02-15,35.8,2428.68,24.64,2931.92,10064.800000000001,-492.80000000000007,277.2,25.25599060058594,-195.8
2020-02-16,2020-02-22,-35.2,608.96,6.4399999999999995,512.08,3252.4,-771.12,-20.24,4.6,48.0
2020-02-23,2020-02-29,-29.25,10432.98,799.0400000000001,7992.36,182912.4,371.2,-263.32,93.52402770996095,957.6
2020-03-01,2020-03-07,-187.75,5273.4375,609.1875,2765.625,141093.75,3700.125,2201.625,97.25615215301544,2328.75
2020-03-08,2020-03-14,-132.4,57418.40625,27625.219745635986,155512.125,1825659.375,50338.25,41678.4375,4127.06299781799,12002.725326538086
2020-03-15,2020-03-21,24.2,3230.447409667969,3634.2353100585938,9430.2,286291.2,6461.599999999999,7159.2,214.77588500976563,502.2159301757813
2020-03-22,2020-03-28,14.6,1252.8,243.951845703125,2627.4,13920.0,877.2,75.84,42.975971069335934,-48.191992187500006
2020-03-29,2020-04-04,34.333333333333336,1346.0038549804688,690.6642236328124,2839.3199999999997,57142.799999999996,23.6,1483.9199999999998,8.24401397705078,28.6720068359375
2020-04-05,2020-04-11,90.0,7807.222222222223,-362.60019938151044,14528.22222222222,169722.22222222222,215.55555555555557,1274.0,114.33333333333334,554.6666666666666
2020-04-12,2020-04-18,-5.4,396.66666666666663,698.1323649088541,-3649.333333333333,44426.666666666664,19.555555555555554,-343.7777777777777,383.4444444444444,364.52236599392364
2020-04-19,2020-04-25,36.66666666666666,-1040.4,37.3320166015625,-538.5600000000001,-10159.2,443.52000000000004,-41.48,-2.04,103.62008056640626
2020-04-26,2020-05-02,-6.0,4809.067437065973,-14.400146484375,11612.444444444445,66266.66666666667,2966.1111111111113,720.0,105.60003662109358,1725.8665364583333
2020-05-03,2020-05-09,-71.0,545.4003295898438,111.7518212890625,-2754.0,20790.0,81.88,146.39999999999998,25.376022338867116,6.848007812500001
