first_day_in_week,last_day_in_week,BGI-M_main_symb_weekly_mean_diff,HAP.TA_weekly_mean_diff_0.37,MGOR.TA_weekly_mean_diff_0.38,LCTX.TA_weekly_mean_diff_0.39,PLTF.TA_weekly_mean_diff_0.56,RIT1.TA_weekly_mean_diff_0.37
2019-04-07,2019-04-13,-0.7599997520446777,-124.0,10.0,0.15999794006346518,1.3,10.8
2019-04-14,2019-04-20,0.0,-244.0,3.2,-7.379999160766602,-2.2,-4.6
2019-04-21,2019-04-27,0.7799994945526123,-338.0,7.0,3.3900022506713867,0.3400009155273409,3.4
2019-04-28,2019-05-04,-1.1799991130828855,-34.0,-37.2,4.489998817443848,-3.8,-4.4
2019-05-05,2019-05-11,-0.4000008106231704,222.0,8.4,-6.539999643961574,0.45999908447265625,1.2
2019-05-12,2019-05-18,5.800000429153443,396.0,26.6,-2.66000111897788,-2.9399993896484373,10.0
2019-05-19,2019-05-25,-5.600000917911529,-1010.0,15.0,-6.720004081726074,-1.2599998474121095,-0.8
2019-06-30,2019-07-06,-0.03999948501587056,-68.0,-61.2,6.120004653930664,0.3400001525878906,-3.6
2019-07-07,2019-07-13,-1.8599998950958263,-348.0,62.2,3.6999988555908203,0.4400001525878906,10.6
2019-07-14,2019-07-20,0.3199994564056411,-248.0,-37.8,-2.839999198913574,0.04000015258789062,1.2
2019-07-21,2019-07-27,0.019999742507935996,4.0,63.8,1.8599939346313477,-1.8599998474121109,3.8
2019-07-28,2019-08-03,-2.299999594688417,-318.0,46.6,-2.859997749328625,0.21999969482422016,-4.0
2019-08-04,2019-08-10,2.4599999189376818,-102.0,72.2,-8.579998016357411,-2.4,23.6
2019-08-11,2019-08-17,1.3800001144409193,-258.0,-89.8,-2.199997901916504,-0.18000030517578125,12.4
2019-08-18,2019-08-24,-2.7400004863739,118.0,73.0,0.8199977874755746,-0.37999954223632815,15.2
2019-08-25,2019-08-31,2.760000228881836,26.0,0.2,-6.560001373291016,-0.020000457763671875,-10.2
2019-09-01,2019-09-07,4.666666189829506,36.0,-23.2,3.3400011062622186,0.04000015258789062,-12.2
2019-11-03,2019-11-09,-3.7999999523162837,-190.0,-31.0,2.179999351501465,0.1,-18.0
2019-11-10,2019-11-16,1.0199999809265166,-226.0,-40.6,-6.659998893737793,0.6000003814697266,1.0
2019-11-17,2019-11-23,-0.5499988794326853,-134.0,69.4,7.739996910095203,-0.6400001525878913,23.2
2019-11-24,2019-11-30,1.000000238418579,-60.0,65.0,5.3800010681152575,0.059999847412110084,-8.2
2019-12-22,2019-12-28,0.399999618530272,-150.0,-16.8,11.90000057220459,-0.24000015258789062,2.2
2019-12-29,2020-01-04,1.399999856948854,154.0,48.4,9.419999122619629,0.1400001525878892,1.8
2020-01-05,2020-01-11,-1.9999992847442627,-242.0,-25.0,-11.620001792907726,-0.32000045776367186,5.4
2020-01-12,2020-01-18,-1.0400003194808949,66.0,50.0,-2.1799993515014533,0.04000015258789347,-4.8
2020-01-19,2020-01-25,0.5800002813339219,-42.0,-0.2,5.820002555847168,0.2400001525878892,10.8
2020-01-26,2020-02-01,-0.3400003910064697,170.0,91.0,14.679999351501465,-0.11999969482421875,-5.2
2020-02-02,2020-02-08,5.399999618530273,-36.0,-8.2,18.500003814697266,5.459999847412109,17.4
2020-02-09,2020-02-15,11.400001049041748,-152.0,247.4,10.699996948242188,11.199999237060549,16.2
2020-02-16,2020-02-22,-5.310000395774841,-108.0,-44.0,-0.5200004577636719,-2.5399993896484405,-7.4
2020-02-23,2020-02-29,-0.13749971985816956,-318.0,-72.0,-26.164999389648425,-5.239999389648437,-30.2
2020-03-01,2020-03-07,-4.500000655651089,-162.5,-72.5,-12.493750572204604,0.27499961853027344,-11.0
2020-03-08,2020-03-14,-1.5799999237060576,-437.25,-512.5,-11.700000762939453,-4.40000057220459,-91.0
2020-03-15,2020-03-21,-1.5999996662139893,131.0,-54.8,-6.680002212524419,-2.4400001525878907,-6.0
2020-03-22,2020-03-28,0.19999980926513672,624.8,82.2,10.920000076293963,0.4600006103515611,20.0
2020-03-29,2020-04-04,0.6666660308837938,44.0,182.0,1.560001373290993,-1.6200004577636704,-30.6
2020-04-05,2020-04-11,-0.3000001112620083,-30.0,17.666666666666668,-5.533329645792624,1.0333340962727842,4.333333333333333
2020-04-12,2020-04-18,0.8000004291534395,13.333333333333334,-240.33333333333334,-1.9000053405761719,1.5,-8.0
2020-04-19,2020-04-25,1.23333334922791,514.0,-10.6,-3.540000915527332,0.23999938964843892,-10.2
2020-04-26,2020-05-02,5.059999227523804,463.3333333333333,358.0,12.766671180725078,1.7000007629394531,65.0
2020-05-03,2020-05-09,1.200001239776611,-492.0,4.0,12.839999198913574,1.7999992370605469,0.0
2020-05-10,2020-05-16,-2.9800009727477996,-366.0,-164.0,-15.580000877380371,-0.379998779296875,-50.8
2020-05-17,2020-05-23,-0.9499996900558508,-98.0,63.2,5.380001068115234,0.679998779296875,-7.6
2020-05-24,2020-05-30,1.3000011444091797,-5.0,-4.0,5.225002765655518,-0.09999847412109375,17.0
