first_day_in_week,last_day_in_week,SPNS_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,24.4,0.0
2019-03-17,2019-03-23,72.8,26.0
2019-03-24,2019-03-30,-11.2,38.0
2019-03-31,2019-04-06,48.0,262.0
2019-04-07,2019-04-13,-71.8,-14.0
2019-04-14,2019-04-20,51.0,56.0
2019-04-21,2019-04-27,-32.0,-14.0
2019-04-28,2019-05-04,-44.6,-96.0
2019-05-05,2019-05-11,19.4,-24.0
2019-05-12,2019-05-18,13.0,-138.0
2019-05-19,2019-05-25,-46.4,40.0
2019-05-26,2019-06-01,129.4,86.0
2019-06-02,2019-06-08,-1.0,86.0
2019-06-09,2019-06-15,26.6,44.0
2019-06-16,2019-06-22,-16.6,42.0
2019-06-23,2019-06-29,2.6,48.0
2019-06-30,2019-07-06,0.8,-44.0
2019-07-07,2019-07-13,-47.2,-68.0
2019-07-14,2019-07-20,26.8,30.0
2019-07-21,2019-07-27,-10.8,76.0
2019-07-28,2019-08-03,114.2,158.0
2019-08-04,2019-08-10,37.6,486.0
2019-08-11,2019-08-17,32.8,-40.0
2019-08-18,2019-08-24,16.0,278.0
2019-08-25,2019-08-31,-50.4,-212.0
2019-09-01,2019-09-07,-46.2,-210.0
2019-09-08,2019-09-14,36.0,-14.0
2019-09-15,2019-09-21,38.0,102.5
2019-09-22,2019-09-28,107.0,282.0
2019-09-29,2019-10-05,105.33333333333331,480.0
2019-10-06,2019-10-12,5.0,110.0
2019-10-13,2019-10-19,5.0,46.666666666666664
2019-10-20,2019-10-26,89.0,-13.333333333333334
2019-10-27,2019-11-02,88.2,-8.0
2019-11-03,2019-11-09,-40.8,-220.0
2019-11-10,2019-11-16,-6.4,48.0
2019-11-17,2019-11-23,46.4,-58.0
2019-11-24,2019-11-30,-17.4,132.0
2019-12-01,2019-12-07,0.8,56.0
2019-12-08,2019-12-14,-9.8,166.0
2019-12-15,2019-12-21,2.8,124.0
2019-12-22,2019-12-28,34.2,-68.0
2019-12-29,2020-01-04,153.0,106.0
2020-01-05,2020-01-11,48.0,104.0
2020-01-12,2020-01-18,11.0,-26.0
2020-01-19,2020-01-25,-18.2,-38.0
2020-01-26,2020-02-01,-135.4,-100.0
2020-02-02,2020-02-08,57.2,174.0
2020-02-09,2020-02-15,29.0,-94.0
2020-02-16,2020-02-22,-131.6,218.0
2020-02-23,2020-02-29,-80.75,-426.0
2020-03-01,2020-03-07,-342.75,-472.5
2020-03-08,2020-03-14,-190.2,-1332.5
2020-03-15,2020-03-21,269.0,-124.0
2020-03-22,2020-03-28,-44.0,618.0
2020-03-29,2020-04-04,183.33333333333331,342.0
2020-04-05,2020-04-11,109.0,-240.0
2020-04-12,2020-04-18,174.4,43.333333333333336
2020-04-19,2020-04-25,120.33333333333331,-224.0
2020-04-26,2020-05-02,8.2,316.6666666666667
2020-05-03,2020-05-09,-131.2,-394.0
2020-05-10,2020-05-16,155.6,186.0
2020-05-17,2020-05-23,-79.0,-28.0
2020-05-24,2020-05-30,-11.8,210.0
2020-05-31,2020-06-06,330.5,268.0
2020-06-07,2020-06-13,60.0,-72.5
2020-06-14,2020-06-20,-57.4,-520.0
2020-06-21,2020-06-27,-52.2,-138.0
2020-06-28,2020-07-04,-1.4,-352.0
2020-07-05,2020-07-11,7.0,-94.0
2020-07-12,2020-07-18,86.0,298.0
2020-07-19,2020-07-25,40.0,6.0
