first_day_in_week,last_day_in_week,EMITF_main_symb_weekly_mean_diff,GLPL.TA_weekly_mean_diff_0.4,SLGN.TA_weekly_mean_diff_0.4,SPEN.TA_weekly_mean_diff_0.4,CDEV.TA_weekly_mean_diff_0.42,ASPR.TA_weekly_mean_diff_0.43,HOD.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,1.260003662109375,0.2800048828125,-2.5599975585937726,7.2,-5.2,7.4,7.999992370605469
2019-03-17,2019-03-23,-0.220001220703125,-0.4,2.0399902343750456,-3.2,55.0,7.4,-0.7999992370605469
2019-03-24,2019-03-30,-5.65999755859375,-8.02000732421875,-13.1,0.2,0.4,-3.8,-11.599998474121094
2019-03-31,2019-04-06,2.739996337890625,8.460009765625,-0.9199951171875227,3.4,69.4,-12.2,-40.19998550415039
2019-04-07,2019-04-13,1.94000244140625,-2.14000244140625,-3.6199951171875226,15.0,57.0,18.6,-3.200016021728561
2019-04-14,2019-04-20,-1.479998779296875,2.15999755859375,9.279992675781273,-5.0,-59.0,6.0,-4.200000762939408
2019-04-21,2019-04-27,-8.4800048828125,0.7,19.94000244140625,5.0,-8.4,2.6,1.4000129699706576
2019-04-28,2019-05-04,-5.539996337890637,-0.9,2.2,-8.0,-87.6,-9.2,3.7999916076660156
2019-05-05,2019-05-11,-1.0799987792968635,-0.3800048828125,3.2,2.8,-25.8,2.0,5.7999992370606375
2019-05-12,2019-05-18,-2.3800048828125,0.9800048828125,2.4,2.8,-15.8,-1.6,0.2000045776366733
2019-05-19,2019-05-25,-14.379998779296871,1.8800048828125,1.2,-4.2,-4.4,5.0,7.999992370605469
2019-05-26,2019-06-01,-1.4199981689453185,2.07999267578125,1.2,4.2,-80.0,-1.8,-3.599987030029342
2019-06-02,2019-06-08,0.0399993896484375,-4.57999267578125,8.6,3.0,112.0,-11.6,-13.400001525878816
2019-06-09,2019-06-15,-5.3,-0.42000732421875,-5.2,4.4,-26.4,12.8,-4.400005340576217
2019-06-16,2019-06-22,5.0,2.04000244140625,-1.6,-3.4,-66.4,7.2,-7.000007629394531
2019-06-23,2019-06-29,2.379998779296881,-3.0,15.2,-5.8,-27.4,18.8,13.200016021728562
2019-06-30,2019-07-06,-2.8799987792968818,0.0,-1.0,2.4,-16.8,-4.8,5.1999855041503
2019-07-07,2019-07-13,-2.020001220703125,-7.2199951171875,-1.2,1.6,-71.4,1.0,-12.199993133544876
2019-07-14,2019-07-20,-0.6399993896484375,5.4199951171875,2.4,-6.4,-0.4,-6.8,-3.4000015258789062
2019-07-21,2019-07-27,-6.1399993896484375,-2.9800048828125,-9.6,4.6,73.0,-4.6,7.800006866455033
2019-07-28,2019-08-03,-2.6,-1.6199951171875,0.6,2.0,113.8,15.2,-7.20001220703125
2019-08-04,2019-08-10,2.7,-1.8199951171875,5.4,51.4,-96.0,27.0,-8.79999160766597
2019-08-11,2019-08-17,0.4399993896484432,-7.24000244140625,0.0,-1.0,-119.2,-5.2,4.799995422363236
2019-08-18,2019-08-24,4.260000610351557,2.45999755859375,5.6,-17.4,185.4,28.6,10.200004577636765
2019-08-25,2019-08-31,6.120001220703119,-0.0199951171875,-10.2,3.6,-106.0,-10.2,-6.000003814697266
2019-09-01,2019-09-07,-0.5800018310546818,-6.4,10.2,15.4,11.0,-2.2,7.20001220703125
2019-09-08,2019-09-14,8.375,0.0199951171875,24.0,-14.0,-17.4,-5.6,15.799999237060547
2019-09-15,2019-09-21,27.08000183105469,5.774993896484375,-9.0,37.0,-10.5,22.5,11.500000953674316
2019-09-22,2019-09-28,-4.600006103515625,-8.3,4.4,14.2,-124.0,9.6,6.399993896484375
2019-09-29,2019-10-05,-3.733327229817709,4.0,1.0,16.5,-58.0,-39.5,13.99998664855957
2019-10-06,2019-10-12,0.8666585286458334,4.366678873697917,54.666666666666664,23.0,-37.0,20.333333333333332,-11.666647593180338
2019-10-13,2019-10-19,-10.599995930989584,-0.20001220703125,8.666666666666666,17.333333333333332,53.333333333333336,11.0,-8.000024159749273
2019-10-20,2019-10-26,0.75999755859375,1.0666707356770833,0.6666666666666666,-10.0,71.33333333333333,1.6666666666666667,-3.9999961853028103
2019-10-27,2019-11-02,-9.1,-0.07999267578125,21.4,-22.8,-33.2,18.4,-20.200004577636765
2019-11-03,2019-11-09,-7.25999755859375,1.75999755859375,-20.6,-1.8,93.6,-10.8,-15.799999237060547
2019-11-10,2019-11-16,-0.6,-4.3800048828125,-3.2,9.8,-48.6,-21.8,4.8000144958497
2019-11-17,2019-11-23,3.5799987792968806,4.32000732421875,17.4,27.2,-61.6,-3.8,0.5999946594237826
2019-11-24,2019-11-30,-6.679998779296881,9.2199951171875,-3.0,43.6,-33.6,6.8,12.999992370605515
2019-12-01,2019-12-07,0.6,-12.9,-1.0,-2.4,-86.6,1.2,5.0
2019-12-08,2019-12-14,37.65999755859376,16.94000244140625,16.2,3.8,47.8,40.0,41.00000381469722
2019-12-15,2019-12-21,5.4,-0.54000244140625,20.2,-10.8,-9.4,-16.2,-7.999992370605469
2019-12-22,2019-12-28,-4.419995117187512,-2.1,5.6,-10.8,-13.2,-21.8,23.99997711181627
2019-12-29,2020-01-04,23.25999755859375,0.35999755859375,16.6,28.4,318.8,17.2,-3.40000152587877
2020-01-05,2020-01-11,1.5599975585937726,3.0800048828125,-7.6,16.2,-31.2,8.8,-7.79998779296875
2020-01-12,2020-01-18,-2.2199951171875454,1.6199951171875,-9.6,0.4,-123.4,-12.0,5.600013732910156
