first_day_in_week,last_day_in_week,MGRT_main_symb_weekly_mean_diff,IES.TA_weekly_mean_diff_0.46,ORL.TA_weekly_mean_diff_0.48,PCBT.TA_weekly_mean_diff_0.5
2019-03-10,2019-03-16,0.399993896484375,-36.0,-1.9799987792968807,1.379998779296875
2019-03-17,2019-03-23,0.399993896484375,-2.0,-0.2,7.8
2019-03-24,2019-03-30,1.2000122070312274,16.0,-0.3,-0.6599975585937727
2019-03-31,2019-04-06,-5.4000091552734135,-134.0,-0.7399993896484375,1.4799926757812727
2019-04-07,2019-04-13,-0.8000030517578125,104.0,0.9,3.1800048828125
2019-04-14,2019-04-20,0.4000091552734375,-2.0,0.3,1.7
2019-04-21,2019-04-27,3.1999969482421875,-44.0,-0.220001220703125,0.3199951171875
2019-04-28,2019-05-04,-0.600006103515625,-70.0,-0.3399993896484375,3.42000732421875
2019-05-05,2019-05-11,-3.0,84.0,0.1,-0.85999755859375
2019-05-12,2019-05-18,-0.1999969482421875,78.0,0.9600006103515625,0.4199951171875
2019-05-19,2019-05-25,-2.1999969482421875,-90.0,-1.7600006103515624,0.9199951171875
2019-05-26,2019-06-01,4.399993896484375,-8.0,1.0,0.72000732421875
2019-06-02,2019-06-08,-2.1999969482421875,66.0,-0.3,-0.85999755859375
2019-06-09,2019-06-15,2.600006103515625,84.0,-0.1399993896484375,-0.52000732421875
2019-06-16,2019-06-22,0.1999969482421875,106.0,1.5399993896484374,-0.0199951171875
2019-06-23,2019-06-29,0.600006103515625,252.0,-0.2,-7.52000732421875
2019-06-30,2019-07-06,-4.0,192.0,-0.4799987792968807,2.060009765625
2019-07-07,2019-07-13,-2.0,-22.0,-0.12000122070311932,0.7
2019-07-14,2019-07-20,2.5999908447265625,-80.0,0.2,-3.8400024414062726
2019-07-21,2019-07-27,0.4000091552734375,-12.0,1.3200012207031193,-0.6800048828124545
2019-07-28,2019-08-03,-1.20001220703125,458.0,0.27999877929688066,-4.419995117187545
2019-08-04,2019-08-10,-2.79998779296875,72.0,0.0,-4.540002441406227
2019-08-11,2019-08-17,3.0,54.0,-2.5,-2.25999755859375
2019-08-18,2019-08-24,-4.8000030517578125,-16.0,1.1399993896484375,2.0199951171875115
2019-08-25,2019-08-31,5.0,-44.0,-1.4199981689453125,-4.879998779296886
2019-09-01,2019-09-07,-6.199996948242188,-92.0,0.779998779296875,-5.0
2019-09-08,2019-09-14,-1.5000152587890625,-162.0,-1.4,-5.079998779296875
2019-09-15,2019-09-21,3.0,425.0,2.25,2.6750030517578125
2019-09-22,2019-09-28,6.500015258789063,40.0,0.4600006103515625,3.579998779296875
2019-09-29,2019-10-05,-4.666671752929688,300.0,0.34999847412109375,8.699996948242188
2019-10-06,2019-10-12,0.6666819254557291,66.66666666666667,0.6000010172526041,5.466664632161458
