first_day_in_week,last_day_in_week,INRM_main_symb_weekly_mean_diff,FNTS.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,0.4,0.920001220703125
2019-03-17,2019-03-23,0.4,2.239996337890625
2019-03-24,2019-03-30,-10.2,-1.179998779296875
2019-03-31,2019-04-06,5.8,8.8
2019-04-07,2019-04-13,4.0,6.260003662109375
2019-04-14,2019-04-20,10.0,-5.320001220703125
2019-04-21,2019-04-27,-7.6,-1.5600036621093636
2019-04-28,2019-05-04,-2.0,-7.319995117187512
2019-05-05,2019-05-11,-0.4,7.139996337890625
2019-05-12,2019-05-18,-11.6,-11.5
2019-05-19,2019-05-25,2.6,-4.279998779296875
2019-05-26,2019-06-01,-1.2,0.679998779296875
2019-06-02,2019-06-08,-2.2,-0.6599975585937614
2019-06-09,2019-06-15,6.6,-1.8600036621093636
2019-06-16,2019-06-22,6.2,-3.7199981689453123
2019-06-23,2019-06-29,0.6,3.3199981689453124
2019-06-30,2019-07-06,5.8,0.9600036621093636
2019-07-07,2019-07-13,-4.2,-3.2600036621093635
2019-07-14,2019-07-20,7.0,1.7600036621093635
2019-07-21,2019-07-27,20.6,-5.380001831054676
2019-07-28,2019-08-03,5.2,5.960000610351562
2019-08-04,2019-08-10,-28.2,-1.44000244140625
2019-08-11,2019-08-17,-12.6,-5.0799987792968695
2019-08-18,2019-08-24,-2.0,0.4400024414062386
2019-08-25,2019-08-31,3.8,-2.380001831054682
2019-09-01,2019-09-07,7.0,1.3399993896484432
2019-09-08,2019-09-14,13.75,-4.339999389648443
2019-09-15,2019-09-21,12.8,4.525001525878906
2019-09-22,2019-09-28,-34.0,-2.180001831054682
2019-09-29,2019-10-05,14.666666666666664,9.75
2019-10-06,2019-10-12,1.3333333333333333,-5.399998982747405
2019-10-13,2019-10-19,0.3333333333333333,-0.633331298828125
2019-10-20,2019-10-26,-8.2,-4.96666971842447
2019-10-27,2019-11-02,-1.2,1.7200012207031192
2019-11-03,2019-11-09,7.8,-3.4799987792968805
2019-11-10,2019-11-16,36.2,3.839999389648443
2019-11-17,2019-11-23,5.2,2.7600006103515566
2019-11-24,2019-11-30,-15.0,-0.9200012207031193
2019-12-01,2019-12-07,0.8,-3.7600006103515624
2019-12-08,2019-12-14,4.8,-4.160000610351557
2019-12-15,2019-12-21,1.4,-0.4399993896484432
2019-12-22,2019-12-28,-8.8,1.2600006103515624
2019-12-29,2020-01-04,6.4,3.9
2020-01-05,2020-01-11,-1.0,1.6
2020-01-12,2020-01-18,18.2,-3.879998779296881
2020-01-19,2020-01-25,-0.8,-0.4400024414062386
2020-01-26,2020-02-01,-15.0,-0.019998168945318185
2020-02-02,2020-02-08,-0.2,-3.3600006103515625
2020-02-09,2020-02-15,1.2,-3.720001220703125
2020-02-16,2020-02-22,-13.6,6.220001220703125
2020-02-23,2020-02-29,-4.5,-1.0799987792968806
2020-03-01,2020-03-07,-78.5,-5.450000762939446
2020-03-08,2020-03-14,10.0,-3.700000762939453
2020-03-15,2020-03-21,15.0,-2.420001220703125
2020-03-22,2020-03-28,-5.8,-0.05999755859375
2020-03-29,2020-04-04,1.3333333333333333,10.799999999999994
2020-04-05,2020-04-11,-34.333333333333336,2.766662597656269
2020-04-12,2020-04-18,16.6,-5.399998982747405
2020-04-19,2020-04-25,25.33333333333333,1.1399993896484433
2020-04-26,2020-05-02,15.0,0.16666666666666666
2020-05-03,2020-05-09,-9.0,-4.859997558593756
2020-05-10,2020-05-16,-3.4,0.1399993896484375
2020-05-17,2020-05-23,-30.25,-4.320001220703125
2020-05-24,2020-05-30,-2.8,0.4249992370605469
2020-05-31,2020-06-06,26.75,5.560000610351563
2020-06-07,2020-06-13,-7.6,-1.5249977111816406
2020-06-14,2020-06-20,-19.6,0.95999755859375
2020-06-21,2020-06-27,-3.999992370605424,-0.579998779296875
2020-06-28,2020-07-04,-21.400007629394572,-33.65680000782013
2020-07-05,2020-07-11,39.0,32.45680000782013
2020-07-12,2020-07-18,-0.6,0.1
2020-07-19,2020-07-25,-3.75,7.260000610351563
