first_day_in_week,last_day_in_week,MYDS_main_symb_weekly_mean_diff,ZUR.TA_weekly_mean_diff_0.4_INT_OPAL.TA_weekly_mean_diff_0.5_corr_0.73,MRIN.TA_weekly_mean_diff_0.47_INT_ALRPR.TA_weekly_mean_diff_0.53_corr_0.73,SHOM.TA_weekly_mean_diff_0.57_INT_OPAL.TA_weekly_mean_diff_0.5_corr_0.77
2019-03-10,2019-03-16,1.2458198547363282,2.9040026855469003,222.71953125000147,-0.7920007324218818
2019-03-17,2019-03-23,-0.1724998474121094,3.8159912109375003,-0.0,3.052798144519329
2019-03-24,2019-03-30,0.12779998779296875,2.07998046875,-349.60000000000053,-0.857991943359375
2019-04-21,2019-04-27,0.19166030883789065,6.8,39.48010253906218,3.365997924804687
2019-04-28,2019-05-04,0.1916595458984375,26.491990966796877,7.0,17.899993896484375
2019-05-19,2019-05-25,0.0,-20.88,163.83984374999855,7.866002197265626
2019-05-26,2019-06-01,-0.4791498184204102,5.5,2154.959399414063,3.270001220703125
2019-06-02,2019-06-08,-0.2683403015136719,-0.36000000000000004,-115.2000732421875,8.64
2019-06-30,2019-07-06,0.9775001525878906,11.33599365234375,936.3598022460975,4.621586767584135
2019-07-07,2019-07-13,-0.4983200073242188,-20.328010253906253,125.39999999999999,-1.2100006103515626
2019-07-14,2019-07-20,-0.03833999633789063,5.175581518560657,-76.16174316405709,0.24319782715291216
2019-07-21,2019-07-27,-0.019159698486329545,6.968773364275722,-83.63991699218673,7.390375146493316
2019-07-28,2019-08-03,-1.322500610351561,-3.7200073242187504,-285.7598144531233,2.4056077636778355
2019-08-04,2019-08-10,-1.2074996948242187,3.837609716802817,-555.3605712890625,3.7064065185561774
2019-08-11,2019-08-17,0.36416015625,0.7079992675781273,54.719860839843754,-0.114000244140625
2019-08-18,2019-08-24,-0.8625,-25.219952392578275,-22.40039062499909,-39.7799682617189
2019-08-25,2019-08-31,-0.13416023254394532,-69.24001464843744,-186.31995849609416,-7.740014648437363
2019-09-01,2019-09-07,-0.019179916381836647,4.800000000000001,0.0,18.479992675781318
2019-09-08,2019-09-14,0.19167518615722745,22.271978759765624,158.40021972656248,5.32479179687798
2019-09-15,2019-09-21,0.814599990844723,-0.20000076293945312,-277.8752899169949,-0.25999855040572584
2019-10-06,2019-10-12,0.15969975789388022,1.633338080512153,2383.336385091141,4.830016886401508
2019-10-13,2019-10-19,0.0,30.277777777777782,-61.33327907986111,1.833343505859375
2019-10-20,2019-10-26,-0.09581985473632812,18.666666666666664,-68.99963378906591,11.022189670138888
2019-10-27,2019-11-02,0.0383201599121108,-22.11998291015625,124.40014648437455,12.734786303713918
2019-11-03,2019-11-09,0.05749969482421732,7.776013183593751,-730.3197509765624,4.809611669927835
2019-11-10,2019-11-16,0.01918029785156392,6.6240087890625,185.7601318359375,4.986402124017476
2019-11-17,2019-11-23,0.07665939331054687,-22.187989501953123,146.63974609375,12.332406762689352
2019-11-24,2019-11-30,0.07666015625,5.512012939453125,-567.6,-3.1200073242187503
2019-12-01,2019-12-07,-0.15969975789388022,-6.383979492187564,22.4000244140625,-6.589184399396247
2019-12-08,2019-12-14,0.06666692097981533,-43.63189453125025,42.400146484375,10.301975097656308
2019-12-22,2019-12-28,0.3400001525878921,-0.6080004882812501,-70.5596923828125,5.59361191406846
2019-12-29,2020-01-04,1.4199996948242188,36.260000000000005,404.400146484375,59.19196411132813
2020-01-05,2020-01-11,0.8400001525878906,-95.39999999999999,1528.5601074218748,207.0000000000002
2020-01-12,2020-01-18,-0.7200004577636718,3.9480102539062027,6704.721020507803,10.095617040991684
2020-01-19,2020-01-25,-0.31999969482421875,-3.5519458007814184,-115.91938476562692,0.20159750975669385
2020-01-26,2020-02-01,0.0,4.10400146484375,3995.1994628906255,11.559620825201273
2020-02-02,2020-02-08,0.5,27.392031249999857,-1041.6000000000001,-32.82764267578704
2020-02-09,2020-02-15,0.9199996948242188,43.43204345703105,-666.0,-15.908804003894256
2020-02-16,2020-02-22,4.7,53.79998779296875,2921.6000000000004,103.72633706055582
2020-02-23,2020-02-29,-2.6749992370605487,100.8,17038.2,57.11999999999999
2020-03-01,2020-03-07,-4.775000572204588,1221.875,25031.25,859.5624351501465
2020-03-08,2020-03-14,-1.5400001525878906,3421.3375930786124,76102.625,1899.3875465393062
2020-03-15,2020-03-21,0.7200004577636718,243.73274467773743,435.5359204101563,30.258380395509313
2020-03-22,2020-03-28,0.15999984741210938,165.05758243408053,5425.92,412.09602294921876
2020-03-29,2020-04-04,-0.4666671752929688,62.6687961914019,4173.9715502929685,-39.41280314940967
2020-04-05,2020-04-11,-0.7666664123535156,78.57798936631879,-4702.222222222223,26.293394910999254
2020-04-12,2020-04-18,1.1800003051757812,5.502350328282787,1425.0,-3.333409627278409
2020-04-19,2020-04-25,1.2666664123535156,5.212415551766718,615.4000000000001,17.46325068362045
2020-04-26,2020-05-02,0.6599998474121094,327.1952016873078,8229.601318359375,164.60864922424986
2020-05-03,2020-05-09,-0.7599998474121094,23.026421044915914,768.4084643554686,-49.60356247559189
2020-05-10,2020-05-16,-1.0800003051757812,180.33906708985566,3913.6972265624995,179.72152402341365
2020-05-17,2020-05-23,0.22500038146972656,-4.4799999999999995,1499.3885961914066,-2.7600000000000002
2020-05-24,2020-05-30,0.4,43.70625686645508,-0.0,18.393722534179688
2020-05-31,2020-06-06,-0.19999980926513672,-6.614767138659954,-150.4,0.5151950195431709
2020-06-07,2020-06-13,0.2599998474121093,-15.436206359881908,3792.6568031311035,-15.270581741351634
