first_day_in_week,last_day_in_week,BCNV_main_symb_weekly_mean_diff,MCRNT.TA_weekly_mean_diff_-0.43,KTOV.TA_weekly_mean_diff_-0.46
2019-03-10,2019-03-16,236.0,-15.20000457763673,12.6800048828125
2019-03-17,2019-03-23,90.0,1.0,-14.220007324218738
2019-03-24,2019-03-30,148.0,-8.599998474121083,-6.219995117187511
2019-03-31,2019-04-06,200.0,4.200004577636719,-0.74000244140625
2019-04-07,2019-04-13,-370.0,-2.0,-1.379998779296875
2019-04-14,2019-04-20,-42.0,5.3999938964843635,-1.3
2019-04-21,2019-04-27,-292.0,2.800003051757824,-2.179998779296875
2019-04-28,2019-05-04,4.0,-3.4000015258789062,-2.84000244140625
2019-05-05,2019-05-11,82.0,-6.0,-0.420001220703125
2019-05-12,2019-05-18,48.0,1.0,-1.079998779296875
2019-05-19,2019-05-25,-130.0,-3.1999969482421875,-2.379998779296875
2019-05-26,2019-06-01,-496.0,1.0,-8.360003662109374
2019-06-02,2019-06-08,-394.0,4.1999969482421875,-0.339996337890625
2019-06-09,2019-06-15,-310.0,-2.1999969482421875,-0.14000244140625
2019-06-16,2019-06-22,446.0,0.0,0.9
2019-06-23,2019-06-29,108.0,-3.8000030517578125,6.1
2019-06-30,2019-07-06,18.0,6.8000030517578125,-2.239996337890625
2019-07-07,2019-07-13,-236.0,-3.2000045776367303,6.279998779296875
2019-07-14,2019-07-20,-270.0,-1.79999542236327,-1.54000244140625
2019-07-21,2019-07-27,432.0,-4.8000030517578125,-9.739996337890625
2019-07-28,2019-08-03,102.0,-3.1999969482421875,-2.420001220703125
2019-08-04,2019-08-10,-582.0,1.0,-4.060003662109375
2019-08-11,2019-08-17,396.0,-16.00000000000001,-3.1199951171875
2019-08-18,2019-08-24,18.0,6.399997711181652,3.7399963378906365
2019-08-25,2019-08-31,86.0,-0.399997711181652,4.479998779296864
2019-09-01,2019-09-07,-354.0,4.199996948242211,3.9
2019-09-08,2019-09-14,242.5,-11.19999694824221,-3.139996337890625
2019-09-15,2019-09-21,1340.0,-1.0000038146972372,-4.0
2019-09-22,2019-09-28,-945.0,1.6000022888183594,-3.340002441406239
2019-09-29,2019-10-05,866.6666666666665,0.0,-1.550003051757841
2019-10-06,2019-10-12,646.6666666666666,-5.0,0.9333394368489394
2019-10-13,2019-10-19,-250.0,2.333329518636068,-1.0
2019-10-20,2019-10-26,-346.0,-6.666666666666667,-1.0666707356770455
2019-10-27,2019-11-02,-306.0,-4.399997711181646,0.47999877929686363
2019-11-03,2019-11-09,-318.0,-1.400001525878912,0.22000122070313638
2019-11-10,2019-11-16,40.0,-1.7999992370605469,-2.8000000000000056
2019-11-17,2019-11-23,12.0,-2.799999237060547,-1.3599975585937614
2019-11-24,2019-11-30,-590.0,-0.20000076293945312,0.059997558593761366
2019-12-01,2019-12-07,574.0,-1.2000007629394531,0.2
2019-12-08,2019-12-14,78.0,4.600002288818359,1.3600006103515567
2019-12-15,2019-12-21,-302.0,5.199996948242193,1.4199981689453125
2019-12-22,2019-12-28,-160.0,4.400001525878901,-2.0999969482421874
2019-12-29,2020-01-04,12.0,4.0,2.819998168945324
2020-01-05,2020-01-11,-74.0,-2.200000762939453,3.8799987792968635
2020-01-12,2020-01-18,-18.0,2.600002288818348,-3.0
2020-01-19,2020-01-25,-320.0,2.19999694824221,-0.4
2020-01-26,2020-02-01,204.0,-4.799999237060558,-0.6199951171875
2020-02-02,2020-02-08,-174.0,-1.5999984741210824,0.8399963378906363
2020-02-09,2020-02-15,350.0,0.2000007629394304,-3.559997558593767
2020-02-16,2020-02-22,-334.0,-1.0,-2.780001831054682
2020-02-23,2020-02-29,-527.5,2.5999984741211053,-3.3600006103515567
2020-03-01,2020-03-07,-1485.0,-4.000000953674316,-1.6499977111816477
2020-03-08,2020-03-14,-36.0,-12.99999713897705,-26.075000762939453
2020-03-15,2020-03-21,410.0,-13.000001907348638,1.1800003051757812
2020-03-22,2020-03-28,108.0,-12.79999923706055,0.059999084472659094
2020-03-29,2020-04-04,1220.0,4.399999618530282,4.039999389648434
2020-04-05,2020-04-11,-606.6666666666666,2.00000127156576,-2.2666651407877603
2020-04-12,2020-04-18,54.0,2.99999872843424,5.699999491373698
2020-04-19,2020-04-25,563.3333333333334,3.6000003814697323,-3.679998779296878
2020-04-26,2020-05-02,-560.0,1.9999980926513483,2.4666646321614727
2020-05-03,2020-05-09,-516.0,2.200000762939459,2.160000610351557
2020-05-10,2020-05-16,-96.0,-2.799999237060541,1.9600006103515626
2020-05-17,2020-05-23,42.5,3.0,9.0
2020-05-24,2020-05-30,76.0,0.4999995231628418,-0.15000152587890625
2020-05-31,2020-06-06,-287.5,14.399999618530268,-4.239999389648437
2020-06-07,2020-06-13,-164.0,9.00000095367433,-2.5999984741210938
2020-06-14,2020-06-20,-274.0,3.2000007629394305,-0.320001220703125
2020-06-21,2020-06-27,-4560.9,25.199595642089854,41.0
2020-06-28,2020-07-04,4166.9,-4.499997329711914,-2.4800004959106445
2020-07-05,2020-07-11,446.0,1.240402603149414,-11.44000072479248
2020-07-12,2020-07-18,258.0,-2.060003662109375,-6.139996337890625
2020-07-19,2020-07-25,-125.0,7.9,-0.06000366210936363
