first_day_in_week,last_day_in_week,BNRG_main_symb_weekly_mean_diff,ECP.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,2.2800048828124893,23.8
2019-03-17,2019-03-23,-9.620001220703122,-25.0
2019-03-24,2019-03-30,17.25999755859375,15.0
2019-03-31,2019-04-06,-7.639996337890625,-6.8
2019-04-07,2019-04-13,-3.660003662109375,91.8
2019-04-14,2019-04-20,-4.739996337890625,21.8
2019-04-21,2019-04-27,0.9,2.8
2019-04-28,2019-05-04,1.3199951171875113,-16.4
2019-05-05,2019-05-11,-7.2000000000000135,-14.0
2019-05-12,2019-05-18,2.54000244140625,27.6
2019-05-19,2019-05-25,-5.14000244140625,6.0
2019-05-26,2019-06-01,-1.079998779296875,-43.8
2019-06-02,2019-06-08,3.3,-16.2
2019-06-09,2019-06-15,4.460003662109375,6.2
2019-06-16,2019-06-22,0.579998779296875,-12.8
2019-06-23,2019-06-29,-7.820001220703125,-18.4
2019-06-30,2019-07-06,1.34000244140625,59.0
2019-07-07,2019-07-13,-4.960003662109375,-52.0
2019-07-14,2019-07-20,-1.0999908447265625,32.6
2019-07-28,2019-08-03,-0.960003662109375,79.4
2019-08-04,2019-08-10,0.679998779296875,40.6
2019-08-11,2019-08-17,-3.1199951171875,47.4
2019-08-18,2019-08-24,-1.24000244140625,12.8
2019-08-25,2019-08-31,-3.279998779296875,-41.0
2019-09-01,2019-09-07,-1.479998779296875,87.0
2019-09-08,2019-09-14,12.449996948242188,-21.2
2019-09-15,2019-09-21,-0.620001220703125,-69.0
2019-09-22,2019-09-28,-2.5,92.4
2019-09-29,2019-10-05,-3.399993896484375,-44.5
2019-10-06,2019-10-12,0.0,-10.333333333333334
2019-10-13,2019-10-19,-3.366668701171875,95.33333333333333
2019-10-20,2019-10-26,-2.620001220703125,-83.33333333333333
2019-10-27,2019-11-02,1.05999755859375,30.6
2019-11-03,2019-11-09,-1.4399963378906364,-28.6
2019-11-10,2019-11-16,2.939996337890636,20.8
2019-11-17,2019-11-23,-1.75999755859375,86.2
2019-11-24,2019-11-30,0.24000244140625,8.0
2019-12-01,2019-12-07,-0.8800048828125,-27.2
2019-12-08,2019-12-14,-1.2399963378906365,-25.4
2019-12-15,2019-12-21,-2.0200012207031137,22.6
2019-12-22,2019-12-28,-0.4,10.0
2019-12-29,2020-01-04,-1.35999755859375,-2.0
2020-01-05,2020-01-11,2.25999755859375,69.2
2020-01-12,2020-01-18,25.779998779296875,-68.4
2020-01-19,2020-01-25,-7.579998779296875,5.4
2020-01-26,2020-02-01,-6.079998779296875,107.6
2020-02-02,2020-02-08,25.720001220703125,32.8
2020-02-09,2020-02-15,15.699999999999976,45.8
2020-02-16,2020-02-22,9.600000000000025,-69.8
2020-02-23,2020-02-29,15.449996948242188,-86.6
2020-03-01,2020-03-07,-41.75,-112.5
2020-03-08,2020-03-14,-22.179998779296874,-242.75
2020-03-15,2020-03-21,6.45999755859375,48.2
2020-03-22,2020-03-28,7.9,215.4
2020-03-29,2020-04-04,-20.666666666666668,-131.6
2020-04-05,2020-04-11,1.6666666666666667,170.33333333333334
2020-04-12,2020-04-18,31.200006103515626,-13.333333333333334
2020-04-19,2020-04-25,20.0333251953125,66.0
2020-04-26,2020-05-02,6.7,68.33333333333333
2020-05-03,2020-05-09,-18.2199951171875,-25.0
2020-05-10,2020-05-16,-7.160003662109375,2.2
2020-05-17,2020-05-23,17.82500457763672,75.4
2020-05-24,2020-05-30,92.4199951171875,260.5
2020-05-31,2020-06-06,13.75,4.2
2020-06-07,2020-06-13,3.4,-35.25
2020-06-14,2020-06-20,-6.2,78.0
2020-06-21,2020-06-27,47.79999618530269,-26.0
2020-06-28,2020-07-04,-34.59999618530269,25.99993896484375
2020-07-05,2020-07-11,-15.0,-122.39993896484376
2020-07-12,2020-07-18,14.2,282.6
2020-07-19,2020-07-25,-19.5,-46.2
