first_day_in_week,last_day_in_week,ROTS_main_symb_weekly_mean_diff,PHOE.TA_weekly_mean_diff_0.41,PHOE.TA_weekly_mean_diff_0.41_INT_HARL.TA_weekly_mean_diff_0.36_corr_0.81,ALRPR.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,-22.8,3.2739990234375,-28.81119140625,64.0
2019-03-17,2019-03-23,-12.6,4.42998046875,-22.14990234375,0.0
2019-03-24,2019-03-30,16.8,-51.233984375,1537.01953125,46.0
2019-03-31,2019-04-06,39.4,26.5800048828125,813.3481494140625,12.0
2019-04-07,2019-04-13,5.0,14.63798828125,606.0127148437499,-14.0
2019-04-14,2019-04-20,2.4,-5.9699951171875,40.595966796875,90.0
2019-04-21,2019-04-27,10.2,7.126000976562454,32.77960449218729,14.0
2019-04-28,2019-05-04,-3.6,-7.319995117187455,142.00790527343662,-70.0
2019-05-05,2019-05-11,2.4,1.5419921875,-14.803125,36.0
2019-05-12,2019-05-18,15.6,32.166015625,1164.409765625,18.0
2019-05-19,2019-05-25,3.6,6.547998046875,-72.027978515625,64.0
2019-05-26,2019-06-01,-6.4,-4.430029296875,-32.782216796875005,-164.0
2019-06-02,2019-06-08,2.2,-16.177978515625,87.361083984375,-30.0
2019-06-09,2019-06-15,-5.8,0.77001953125,-1.69404296875,148.0
2019-06-16,2019-06-22,-33.8,20.223974609375,84.940693359375,90.0
2019-06-23,2019-06-29,36.8,-22.535986328125,301.982216796875,-20.0
2019-06-30,2019-07-06,-12.4,8.089990234375,38.831953125,162.0
2019-07-07,2019-07-13,20.0,-2.69599609375,-3.7743945312499996,66.0
2019-07-14,2019-07-20,9.4,-1.733984375,36.413671875,-238.0
2019-07-21,2019-07-27,3.8,0.961962890625,19.431650390625,-34.0
2019-07-28,2019-08-03,33.0,3.08203125,25.8890625,76.0
2019-08-04,2019-08-10,-0.2,-20.802001953125,174.73681640625,156.0
2019-08-11,2019-08-17,-12.6,-5.7780029296875,48.53522460937501,-114.0
2019-08-18,2019-08-24,5.8,14.4459716796875,228.24635253906249,80.0
2019-08-25,2019-08-31,26.2,1.156005859375,2.7744140625,34.0
2019-09-01,2019-09-07,16.6,4.622021484375,96.138046875,0.0
2019-09-08,2019-09-14,43.75,5.777978515625,54.312998046875,36.0
2019-09-15,2019-09-21,-20.4,12.52252197265625,178.44593811035156,95.0
2019-09-22,2019-09-28,-58.5,8.2,104.96,-10.0
2019-09-29,2019-10-05,-7.0,-20.5,369.0,-20.0
2019-10-06,2019-10-12,9.666666666666666,0.3333333333333333,-3.0,250.0
2019-10-13,2019-10-19,1.0,22.333333333333332,245.66666666666666,-6.666666666666667
2019-10-20,2019-10-26,-8.6,-4.0,22.666666666666668,-90.0
2019-10-27,2019-11-02,-12.0,-14.6,464.28,20.0
2019-11-03,2019-11-09,-40.4,-30.8,-6.16,-102.0
2019-11-10,2019-11-16,-2.0,1.2,7.68,-54.0
2019-11-17,2019-11-23,52.2,3.6,28.08,52.0
2019-11-24,2019-11-30,27.0,31.0,285.2,132.0
2019-12-01,2019-12-07,83.4,-1.4,37.519999999999996,10.0
2019-12-08,2019-12-14,-26.2,-9.2,121.43999999999998,20.0
2019-12-15,2019-12-21,-14.8,-13.4,88.44,68.0
2019-12-22,2019-12-28,29.2,6.4,15.36,-42.0
2019-12-29,2020-01-04,34.0,-0.8,4.960000000000001,60.0
2020-01-05,2020-01-11,12.4,-20.0,628.0,44.0
2020-01-12,2020-01-18,32.6,0.2,1.7600000000000002,418.0
2020-01-19,2020-01-25,-17.0,-0.6,0.72,-84.0
2020-01-26,2020-02-01,15.4,-16.2,651.24,-220.0
2020-02-02,2020-02-08,-27.2,-8.4,28.56,-62.0
2020-02-09,2020-02-15,15.4,15.2,57.76,-30.0
2020-02-16,2020-02-22,-62.4,7.8,168.48000000000002,166.0
2020-02-23,2020-02-29,-117.0,-42.6,3467.6400000000003,-438.0
2020-03-01,2020-03-07,-134.25,-60.5,3977.875,-890.0
2020-03-08,2020-03-14,-28.0,-72.25,5978.6875,-1003.0
2020-03-15,2020-03-21,62.0,4.6,133.39999999999998,-32.6
2020-03-22,2020-03-28,23.6,54.4,2012.8,376.8
2020-03-29,2020-04-04,58.33333333333334,10.8,-92.88,184.2
2020-04-05,2020-04-11,40.66666666666666,7.666666666666667,69.0,-122.66666666666667
2020-04-12,2020-04-18,15.2,11.333333333333334,623.3333333333334,-285.0
2020-04-19,2020-04-25,63.0,32.8,1266.08,36.2
2020-04-26,2020-05-02,-54.8,12.666666666666666,434.8888888888889,324.0
2020-05-03,2020-05-09,-7.2,-26.6,558.6,-190.2
2020-05-10,2020-05-16,-44.0,-34.2,1012.3200000000002,-251.2
2020-05-17,2020-05-23,-20.75,16.0,521.6,81.4
2020-05-24,2020-05-30,4.4,7.5,28.125,0.0
2020-05-31,2020-06-06,2.5,-28.0,638.4,-16.0
2020-06-07,2020-06-13,28.0,11.25,11.25,181.25
2020-06-14,2020-06-20,19.0,12.6,211.68,110.4
2020-06-21,2020-06-27,-17.799984741210938,-44.2,1370.2,-109.4
2020-06-28,2020-07-04,-19.600015258789067,3.399999237060547,60.5200331115621,-70.39993286132812
2020-07-05,2020-07-11,71.4,-5.599999237060547,57.12006912230448,-21.800067138671874
2020-07-12,2020-07-18,-13.0,22.2,-88.8,3.2
2020-07-19,2020-07-25,-5.25,4.2,89.88,-2.6
