first_day_in_week,last_day_in_week,MMHD_main_symb_weekly_mean_diff,PCBT.TA_weekly_mean_diff_0.35,SHGR.TA_weekly_mean_diff_0.37
2019-03-03,2019-03-09,1.4,-4.060003662109375,-8.8
2019-03-10,2019-03-16,20.4,1.379998779296875,4.6
2019-03-17,2019-03-23,-29.4,7.8,27.8
2019-03-24,2019-03-30,33.8,-0.6599975585937727,-8.6
2019-03-31,2019-04-06,9.6,1.4799926757812727,15.2
2019-04-07,2019-04-13,-12.6,3.1800048828125,1.0
2019-04-14,2019-04-20,2.8,1.7,-1.0
2019-04-21,2019-04-27,26.2,0.3199951171875,4.4
2019-04-28,2019-05-04,15.6,3.42000732421875,-14.4
2019-05-05,2019-05-11,68.0,-0.85999755859375,3.4
2019-05-12,2019-05-18,-41.4,0.4199951171875,-3.2
2019-05-19,2019-05-25,65.4,0.9199951171875,-17.8
2019-05-26,2019-06-01,25.6,0.72000732421875,6.8
2019-06-02,2019-06-08,-37.4,-0.85999755859375,3.6
2019-06-09,2019-06-15,36.8,-0.52000732421875,8.0
2019-06-16,2019-06-22,5.2,-0.0199951171875,3.4
2019-06-23,2019-06-29,16.0,-7.52000732421875,-2.2
2019-06-30,2019-07-06,-21.4,2.060009765625,-6.0
2019-07-07,2019-07-13,-7.0,0.7,-5.2
2019-07-14,2019-07-20,14.0,-3.8400024414062726,4.0
2019-07-21,2019-07-27,42.4,-0.6800048828124545,-14.8
2019-07-28,2019-08-03,-88.0,-4.419995117187545,-10.6
2019-08-04,2019-08-10,23.4,-4.540002441406227,-0.2
2019-08-11,2019-08-17,-36.0,-2.25999755859375,-3.4
2019-08-18,2019-08-24,6.0,2.0199951171875115,17.4
2019-08-25,2019-08-31,-35.2,-4.879998779296886,11.2
2019-09-01,2019-09-07,61.4,-5.0,-12.6
2019-09-08,2019-09-14,9.0,-5.079998779296875,8.4
2019-09-15,2019-09-21,-15.8,2.6750030517578125,-4.5
2019-09-22,2019-09-28,-7.0,3.579998779296875,5.2
2019-09-29,2019-10-05,53.66666666666666,8.699996948242188,-6.0
2019-10-06,2019-10-12,132.66666666666666,5.466664632161458,8.333333333333334
2019-10-13,2019-10-19,-36.66666666666666,0.100006103515625,17.333333333333332
2019-10-20,2019-10-26,-7.8,1.1999918619791856,-7.666666666666667
2019-10-27,2019-11-02,-67.2,-3.2399963378906365,-5.6
2019-11-03,2019-11-09,-50.4,0.920001220703125,-1.8
2019-11-10,2019-11-16,85.2,-2.820001220703125,-6.2
2019-11-17,2019-11-23,-30.2,-8.679998779296875,2.2
2019-11-24,2019-11-30,-28.6,-2.620001220703125,-21.6
2019-12-01,2019-12-07,-27.0,-0.720001220703125,-1.0
2019-12-08,2019-12-14,-46.0,1.3,-0.4
2019-12-15,2019-12-21,16.6,-2.4400024414062385,13.0
2019-12-22,2019-12-28,68.0,12.5,-1.4
2019-12-29,2020-01-04,-50.4,-3.379998779296886,5.0
2020-01-05,2020-01-11,7.4,-0.32000122070311365,7.8
2020-01-12,2020-01-18,-25.0,4.7,-4.2
2020-01-19,2020-01-25,-62.6,2.5400024414062385,2.4
2020-01-26,2020-02-01,-77.2,-0.979998779296875,-9.8
2020-02-02,2020-02-08,28.0,-1.920001220703125,-17.2
2020-02-09,2020-02-15,29.6,2.84000244140625,14.8
2020-02-16,2020-02-22,-81.6,1.079998779296875,-8.8
2020-02-23,2020-02-29,-56.25,-6.279998779296875,-20.0
2020-03-01,2020-03-07,-204.75,-13.200004577636719,-31.074996948242188
2020-03-08,2020-03-14,-49.4,-19.875,-38.67500305175781
2020-03-15,2020-03-21,79.6,-10.879998779296875,17.15999755859375
2020-03-22,2020-03-28,122.8,5.6,35.84000244140625
2020-03-29,2020-04-04,95.0,21.3,3.4
2020-04-05,2020-04-11,0.3333333333333333,2.3333333333333335,-7.666666666666667
2020-04-12,2020-04-18,77.8,-0.3333333333333333,8.0
2020-04-19,2020-04-25,63.33333333333334,2.5599975585937615,19.8
2020-04-26,2020-05-02,-49.8,1.1000061035156061,12.333333333333334
2020-05-03,2020-05-09,-30.0,3.1399963378906364,-10.2
2020-05-10,2020-05-16,51.4,1.6800048828124887,-15.8
2020-05-17,2020-05-23,-9.5,4.539996337890625,14.0
2020-05-24,2020-05-30,-14.0,4.625,-11.5
2020-05-31,2020-06-06,-83.25,-0.32000122070311365,2.2
2020-06-07,2020-06-13,-43.8,1.2000045776367045,-11.75
2020-06-14,2020-06-20,-72.6,-1.820001220703125,-22.6
2020-06-21,2020-06-27,72.40000915527344,1.64000244140625,9.2
2020-06-28,2020-07-04,4.5999908447265625,-3.0400062561035157,3.400002288818359
2020-07-05,2020-07-11,42.0,0.46000137329102697,-3.2000022888183595
2020-07-12,2020-07-18,21.8,-9.959997558593761,45.0
