first_day_in_week,last_day_in_week,GOLF_main_symb_weekly_mean_diff,SCOP.TA_weekly_mean_diff_0.37_INT_ZUR.TA_weekly_mean_diff_0.48_corr_0.75
2019-03-10,2019-03-16,-1.54000244140625,71.28
2019-03-17,2019-03-23,-0.84000244140625,46.800000000000004
2019-03-24,2019-03-30,-4.3199951171875,113.6
2019-03-31,2019-04-06,2.9199951171875,302.4
2019-04-07,2019-04-13,1.3800048828125,64.8
2019-04-14,2019-04-20,0.25999755859375,160.68
2019-04-21,2019-04-27,-2.220001220703125,-27.2
2019-04-28,2019-05-04,-0.5,199.8
2019-05-05,2019-05-11,-4.079998779296875,-155.0
2019-05-12,2019-05-18,-7.02000122070312,31.680000000000003
2019-05-19,2019-05-25,-6.079998779296881,2449.9199999999996
2019-05-26,2019-06-01,3.3600006103515625,946.0
2019-06-02,2019-06-08,-0.6,-0.08000000000000002
2019-06-09,2019-06-15,-1.720001220703125,-207.68000000000004
2019-06-16,2019-06-22,-1.979998779296875,-11.200000000000001
2019-06-23,2019-06-29,6.160000610351558,4.0
2019-06-30,2019-07-06,-0.3200012207031193,31.200000000000003
2019-07-07,2019-07-13,1.2799987792968808,-848.4000000000001
2019-07-14,2019-07-20,-1.4599975585937617,833.5437011718765
2019-07-21,2019-07-27,-0.6200012207031194,-73.0599365234378
2019-07-28,2019-08-03,-0.0399993896484375,12.600000000000001
2019-08-04,2019-08-10,-1.939999389648443,523.2245458984349
2019-08-11,2019-08-17,1.2399993896484431,822.6951489257839
2019-08-18,2019-08-24,2.2399993896484376,72.16786376953168
2019-08-25,2019-08-31,1.5200012207031193,2058.736435546873
2019-09-01,2019-09-07,1.6,-64.32000000000001
2019-09-08,2019-09-14,0.8249969482422017,1917.4799999999998
2019-09-15,2019-09-21,5.120001220703119,11.375
2019-09-22,2019-09-28,2.0,42.0
2019-09-29,2019-10-05,0.7000020345052084,1110.0
2019-10-06,2019-10-12,-0.7999979654947916,157.8888888888889
2019-10-13,2019-10-19,-3.6666666666666665,7387.777777777778
2019-10-20,2019-10-26,-0.4,-569.3333333333333
2019-10-27,2019-11-02,-0.34000244140625,-184.79999999999998
2019-11-03,2019-11-09,-2.0,-442.8
2019-11-10,2019-11-16,1.7200012207031137,44.64
2019-11-17,2019-11-23,-5.399999999999994,-344.0
2019-11-24,2019-11-30,-2.8,-837.4
2019-12-01,2019-12-07,-1.8400024414062384,-41.44
2019-12-08,2019-12-14,-0.7599975585937614,-315.36
2019-12-15,2019-12-21,0.4,-33.4
2019-12-22,2019-12-28,-0.7,-0.4
2019-12-29,2020-01-04,12.539996337890631,85.84
2020-01-05,2020-01-11,-1.0199951171875,42.4
2020-01-12,2020-01-18,0.6199951171875,77.28
2020-01-19,2020-01-25,0.7800048828125,-106.56
2020-01-26,2020-02-01,-2.2200012207031365,-19.2
2020-02-02,2020-02-08,-0.7200012207031137,-17.919999999999998
2020-02-09,2020-02-15,-0.2200012207031136,-612.32
2020-02-16,2020-02-22,-1.6799987792968865,532.0
2020-02-23,2020-02-29,-4.549999237060547,2800.7999999999997
2020-03-01,2020-03-07,-11.075000762939453,6598.125
2020-03-08,2020-03-14,-10.639999389648443,42374.107402801514
2020-03-15,2020-03-21,0.3399993896484432,3627.8954956054686
2020-03-22,2020-03-28,1.179998779296875,1331.3037841796877
2020-03-29,2020-04-04,7.2666676839192705,1538.0483666992188
2020-04-05,2020-04-11,5.366668701171875,2172.4444444444443
2020-04-12,2020-04-18,-9.700000000000006,1746.956244574653
2020-04-19,2020-04-25,5.399998982747406,472.2563671875
2020-04-26,2020-05-02,-1.8,7316.955003526475
2020-05-03,2020-05-09,-0.620001220703125,-72.76008300781251
2020-05-10,2020-05-16,2.020001220703125,4429.055537109375
2020-05-17,2020-05-23,6.674999237060548,2616.3199999999997
2020-05-24,2020-05-30,-1.6600006103515623,3010.875473022461
2020-05-31,2020-06-06,-3.549999237060547,40.264013671875
2020-06-07,2020-06-13,0.4,332.0248260498047
2020-06-14,2020-06-20,0.3600006103515625,72.72001953125
2020-06-21,2020-06-27,-0.6999999046325683,1729.92
2020-06-28,2020-07-04,-1.6000000953674316,162.68838684092444
2020-07-05,2020-07-11,2.9,819.6359095000767
2020-07-12,2020-07-18,0.720001220703125,1.3200073242188184
2020-07-19,2020-07-25,-0.15000152587890625,175.53584472656297
