first_day_in_week,last_day_in_week,HAIN_main_symb_weekly_mean_diff,ARKO.TA_weekly_mean_diff_0.74
2019-03-10,2019-03-16,0.2200012207031136,0.279998779296875
2019-03-17,2019-03-23,-0.85999755859375,-0.1399993896484375
2019-03-24,2019-03-30,-5.079998779296875,2.2600006103515624
2019-03-31,2019-04-06,0.779998779296875,-2.779998779296875
2019-04-07,2019-04-13,1.9399963378906364,1.95999755859375
2019-04-14,2019-04-20,0.18000488281248864,-0.35999755859375
2019-04-21,2019-04-27,-2.1800048828124887,-0.7800018310546875
2019-04-28,2019-05-04,-1.2,1.3600006103515625
2019-05-05,2019-05-11,1.0400024414062383,0.6399993896484375
2019-05-12,2019-05-18,-0.420001220703125,-0.579998779296875
2019-05-19,2019-05-25,0.24000244140625,-1.4399993896484375
2019-05-26,2019-06-01,2.679998779296875,-0.120001220703125
2019-06-02,2019-06-08,-0.24000244140623864,0.1
2019-06-09,2019-06-15,-2.0,0.6
2019-06-16,2019-06-22,2.4400024414062385,-0.5399993896484375
2019-06-23,2019-06-29,4.659997558593762,-0.320001220703125
2019-06-30,2019-07-06,3.2,0.2
2019-07-07,2019-07-13,2.5,-0.9399993896484375
2019-07-14,2019-07-20,8.900000000000013,1.379998779296875
2019-07-21,2019-07-27,4.080004882812455,-0.2199981689453125
2019-07-28,2019-08-03,-4.880004882812466,0.979998779296875
2019-08-04,2019-08-10,1.1000000000000114,-0.6600006103515625
2019-08-11,2019-08-17,4.240002441406228,-1.2
2019-08-18,2019-08-24,0.5599975585937728,-0.3199981689453182
2019-08-25,2019-08-31,1.3400024414062273,-2.160000610351557
2019-09-01,2019-09-07,-0.3,0.7
2019-09-08,2019-09-14,0.350006103515625,1.939999389648443
2019-09-15,2019-09-21,0.5799926757812728,0.325000762939446
2019-09-22,2019-09-28,-3.25,-0.2600006103515568
2019-09-29,2019-10-05,-0.5999959309896212,-1.449996948242216
2019-10-06,2019-10-12,-0.8000081380208334,1.4666646321614678
2019-10-13,2019-10-19,-4.233317057291667,0.3999989827473958
2019-10-20,2019-10-26,-1.7800048828125,0.366668701171875
2019-10-27,2019-11-02,-8.279998779296875,0.5399993896484375
2019-11-03,2019-11-09,0.879998779296875,1.220001220703125
2019-11-10,2019-11-16,1.5,2.579998779296875
2019-11-17,2019-11-23,-1.979998779296875,0.8800018310546875
2019-11-24,2019-11-30,-10.14000244140625,-0.020001220703125
2019-12-01,2019-12-07,-5.2,-1.8
2019-12-08,2019-12-14,-5.15999755859375,1.3
2019-12-15,2019-12-21,20.37999877929688,1.9600006103515626
2019-12-22,2019-12-28,-1.05999755859375,-0.1600006103515625
2019-12-29,2020-01-04,-5.8800048828124885,-1.879998779296875
2020-01-05,2020-01-11,-1.1399963378906364,-0.74000244140625
2020-01-12,2020-01-18,-1.3,-2.879998779296875
2020-01-19,2020-01-25,-2.5,0.2399993896484375
2020-01-26,2020-02-01,2.579998779296875,-1.5600006103515625
2020-02-02,2020-02-08,5.4,-0.15999755859375
2020-02-09,2020-02-15,4.84000244140625,-0.2600006103515682
2020-02-16,2020-02-22,-4.94000244140625,-1.0200012207031137
2020-02-23,2020-02-29,-6.224998474121094,-2.900000000000003
2020-03-01,2020-03-07,-14.650001525878904,-1.1749992370605504
2020-03-08,2020-03-14,-12.779998779296875,-8.600000381469727
2020-03-15,2020-03-21,0.020001220703125,-2.6800003051757812
2020-03-22,2020-03-28,-3.060003662109375,-0.6199996948242159
2020-03-29,2020-04-04,2.033335367838541,-0.019999694824221592
2020-04-05,2020-04-11,-3.2999979654947915,4.4333343505859375
2020-04-12,2020-04-18,0.820001220703125,1.9666646321614583
2020-04-19,2020-04-25,0.23332722981770834,0.34000091552734374
2020-04-26,2020-05-02,-2.15999755859375,2.8000005086262973
2020-05-03,2020-05-09,-0.920001220703125,-1.9600006103515597
2020-05-10,2020-05-16,1.7,-2.2
2020-05-17,2020-05-23,1.6999969482421875,1.2800003051757813
2020-05-24,2020-05-30,-2.8799987792968635,-1.5500011444091797
2020-05-31,2020-06-06,0.8000030517577983,0.8600006103515625
2020-06-07,2020-06-13,-0.9000000000000113,-0.875
2020-06-14,2020-06-20,-0.9,-0.6800003051757812
2020-06-21,2020-06-27,1.0199996948242187,-1.6399993896484388
2020-06-28,2020-07-04,-0.11999969482421875,2.2399996280670154
2020-07-05,2020-07-11,3.3399963378906365,-0.2800005435943575
2020-07-12,2020-07-18,56.22000732421875,17.820001220703126
2020-07-19,2020-07-25,3.25,3.0399993896484374
