first_day_in_week,last_day_in_week,ICB_main_symb_weekly_mean_diff,REKA.TA_weekly_mean_diff_-0.35
2019-03-10,2019-03-16,-0.1399993896484375,-1.2
2019-03-17,2019-03-23,-1.4400001525878907,4.6
2019-03-24,2019-03-30,-0.2,-32.8
2019-03-31,2019-04-06,0.1400001525878906,21.4
2019-04-07,2019-04-13,2.980000305175781,-32.4
2019-04-14,2019-04-20,0.11999969482421875,-34.8
2019-04-21,2019-04-27,-1.5199996948242205,23.2
2019-04-28,2019-05-04,1.039999389648442,-12.0
2019-05-05,2019-05-11,-1.279999542236331,-13.2
2019-05-12,2019-05-18,-0.5200004577636719,19.0
2019-05-19,2019-05-25,-1.7,-7.4
2019-05-26,2019-06-01,0.24000015258789065,1.2
2019-06-02,2019-06-08,0.24000015258789065,-4.0
2019-06-09,2019-06-15,-0.7,7.4
2019-06-16,2019-06-22,0.2,-13.4
2019-06-23,2019-06-29,0.9,-42.6
2019-06-30,2019-07-06,0.1400001525878906,86.0
2019-07-07,2019-07-13,1.1199996948242188,-69.2
2019-07-14,2019-07-20,-0.9199996948242188,-44.2
2019-07-21,2019-07-27,0.4,5.2
2019-07-28,2019-08-03,-0.3400001525878906,44.6
2019-08-04,2019-08-10,-0.4400001525878906,0.0
2019-08-11,2019-08-17,0.6599998474121094,-6.4
2019-08-18,2019-08-24,-0.979999542236328,6.2
2019-08-25,2019-08-31,-0.8599998474121108,2.8
2019-09-01,2019-09-07,1.2,3.8
2019-09-08,2019-09-14,-0.9250001907348616,9.2
2019-09-15,2019-09-21,-0.0599998474121108,-43.5
2019-09-22,2019-09-28,-0.600000381469723,-3.2
2019-09-29,2019-10-05,-0.20000076293945312,21.5
2019-10-06,2019-10-12,-0.6333325703938802,16.0
2019-10-13,2019-10-19,0.3333333333333333,-28.333333333333332
2019-10-20,2019-10-26,-0.8,21.333333333333332
2019-10-27,2019-11-02,1.5199996948242187,-20.2
2019-11-03,2019-11-09,-0.059999847412109376,9.0
2019-11-10,2019-11-16,-0.8800003051757812,-9.0
2019-11-17,2019-11-23,0.2,-6.8
2019-11-24,2019-11-30,1.2800003051757811,-18.8
2019-12-01,2019-12-07,-0.6,-4.8
2019-12-08,2019-12-14,0.11999969482421875,-8.8
2019-12-15,2019-12-21,-0.6799995422363281,-12.6
2019-12-22,2019-12-28,4.979999542236328,-9.8
2019-12-29,2020-01-04,-1.0800003051757812,36.8
2020-01-05,2020-01-11,-3.379999542236328,58.0
2020-01-12,2020-01-18,0.3599998474121094,6.0
2020-01-19,2020-01-25,-0.4799995422363281,-22.8
2020-01-26,2020-02-01,-0.3,-14.0
2020-02-02,2020-02-08,0.2,-24.0
2020-02-09,2020-02-15,0.5,-9.8
2020-02-16,2020-02-22,-1.0800003051757812,22.8
2020-02-23,2020-02-29,-0.25,-44.2
2020-03-01,2020-03-07,-1.3499994277954102,-4.25
2020-03-08,2020-03-14,-0.6600006103515625,12.25
2020-03-15,2020-03-21,0.6,-47.4
2020-03-22,2020-03-28,0.9,39.0
2020-03-29,2020-04-04,-0.13333257039388022,5.0
2020-04-05,2020-04-11,-0.4666671752929688,4.333333333333333
2020-04-12,2020-04-18,-0.4400001525878906,17.333333333333332
2020-04-19,2020-04-25,0.6666666666666666,-9.6
2020-04-26,2020-05-02,0.18000030517578125,-2.6666666666666665
2020-05-03,2020-05-09,-0.5400001525878906,-2.0
2020-05-10,2020-05-16,0.3,-18.8
2020-05-17,2020-05-23,0.75,17.8
2020-05-24,2020-05-30,0.08000030517578123,3.5
2020-05-31,2020-06-06,0.19999980926513672,-1.4
2020-06-07,2020-06-13,-0.24000015258789065,20.75
2020-06-14,2020-06-20,-0.4599998474121094,8.4
2020-06-21,2020-06-27,0.9000001907348633,-20.2
2020-06-28,2020-07-04,-0.8800004959106446,13.400001525878906
2020-07-05,2020-07-11,0.6600006103515611,-25.400001525878906
2020-07-12,2020-07-18,0.0599998474121108,12.6
2020-07-19,2020-07-25,0.4250001907348615,-16.2
