first_day_in_week,last_day_in_week,ISCD_main_symb_weekly_mean_diff,PMCN.TA_weekly_mean_diff_-0.39_INT_PRGO.TA_weekly_mean_diff_-0.37_corr_0.86,CAMT.TA_weekly_mean_diff_-0.35_INT_JBNK.TA_weekly_mean_diff_-0.4_corr_0.93,CAMT.TA_weekly_mean_diff_-0.35_INT_PRGO.TA_weekly_mean_diff_-0.37_corr_0.94
2019-04-14,2019-04-20,4.2,507.4,119.02008056640625,-1298.0
2019-04-21,2019-04-27,-5.4,273.59999999999997,59.191904296875,1411.2
2019-04-28,2019-05-04,1.0,819.0,53.39181640625,3384.0
2019-05-05,2019-05-11,-4.2,-0.0,-2.7279785156250003,96.80000000000001
2019-05-12,2019-05-18,-0.6,-756.0,-48.98816162109375,-3574.8
2019-05-19,2019-05-25,-3.0,-83.20001220703125,-117.87172851562501,556.0
2019-05-26,2019-06-01,1.0,2279.6803344726563,-16.0,-438.40000000000003
2019-06-02,2019-06-08,-17.0,-416.0,-5.88,-62.4
2019-06-09,2019-06-15,3.4,47.6,-0.3121142578125,218.4
2019-06-16,2019-06-22,-13.4,-524.4,365.51158203125,4879.2
2019-06-23,2019-06-29,-3.4,-332.63979492187497,-53.24416992187499,-1461.6
2019-06-30,2019-07-06,20.4,-952.3203125,6.031987304687501,665.6
2019-07-07,2019-07-13,-4.0,67.68006591796875,72.21592529296875,550.8000000000001
2019-07-14,2019-07-20,10.2,67.2,24.5999755859375,-140.0
2019-07-21,2019-07-27,4.6,697.6015625,-831.7077758789062,29376.0
2019-07-28,2019-08-03,-12.6,211.20000000000002,63.63185791015625,-1862.3999999999999
2019-08-04,2019-08-10,-2.8,2865.1210327148438,-1.52455810546875,42976.8
2019-08-11,2019-08-17,17.6,-23.76002197265625,-159.32390869140625,-1346.3999999999999
2019-08-18,2019-08-24,3.0,476.9998168945321,146.22387939453125,7410.0
2019-08-25,2019-08-31,-1.0,-302.08007812499966,-37.5999755859375,-320.0
2019-09-01,2019-09-07,0.0,-20.719995117187523,0.0,0.0
2019-09-08,2019-09-14,-2.0,-1066.5603698730436,-5.0200000000000005,30421.2
2019-09-15,2019-09-21,-9.0,115.50010681152344,25.024978637695312,-490.0
2019-09-22,2019-09-28,5.5,14.39990234375,70.4,-1408.0
2019-09-29,2019-10-05,-1.3333333333333333,2502.501678466797,546.125,70675.0
2019-10-06,2019-10-12,4.666666666666667,-359.66679890950394,404.71142578125,10053.333333333332
2019-10-13,2019-10-19,-3.6666666666666665,1870.0002882215683,3.7333170572916665,377.7777777777777
2019-10-20,2019-10-26,2.4,-5.7776896158862385,-1.932861328125,-5026.666666666667
2019-10-27,2019-11-02,-5.8,-342.7199584960935,-39.8160205078125,-285.6
2019-11-03,2019-11-09,3.4,380.15903320312503,-78.68388427734375,9385.199999999999
2019-11-10,2019-11-16,-2.0,340.08079833984124,-2.8159375000000004,-2790.4
2019-11-17,2019-11-23,-4.6,2.8000000000000003,6.73204833984375,-554.4
2019-11-24,2019-11-30,-4.8,271.04056396484197,-279.33622070312504,6960.8
2019-12-01,2019-12-07,1.8,-7.560021972656455,-230.25615234375,-561.6
2019-12-08,2019-12-14,-1.6,-649.7596801757783,88.39999999999999,6812.0
2019-12-15,2019-12-21,-9.4,126.96016845703099,35.031943359375,-533.6
2019-12-22,2019-12-28,12.4,-208.68009033203083,36.4560302734375,-458.8
2019-12-29,2020-01-04,-3.0,-682.879785156252,-10.736010742187501,-387.20000000000005
2020-01-05,2020-01-11,-2.8,235.56009521484464,204.288125,-1996.8000000000002
2020-01-12,2020-01-18,3.8,1325.1208007812575,89.96000000000001,45395.200000000004
2020-01-19,2020-01-25,-2.2,-12.639990234375091,61.40382568359376,285.6
2020-01-26,2020-02-01,-19.6,209.52026367187315,75.17999999999999,11599.2
2020-02-02,2020-02-08,18.8,17.6,-42.151967773437505,193.60000000000002
2020-02-09,2020-02-15,5.8,112.39996337890636,-72.19193115234374,564.0
2020-02-16,2020-02-22,-14.0,95.5999755859375,-18.23207763671875,212.0
2020-02-23,2020-02-29,-22.75,1424.7996826171875,799.4,59384.0
2020-03-01,2020-03-07,-77.14999389648438,2512.1255874633734,194.13728713989258,-8951.25
2020-03-08,2020-03-14,-19.0800048828125,8801.751232147206,2367.8504333496094,57332.5
2020-03-15,2020-03-21,33.0,-1308.7203247070297,1856.5442431640624,-26493.6
2020-03-22,2020-03-28,10.819995117187524,-185.60000000000002,1176.6,-6148.0
2020-03-29,2020-04-04,-1.3666585286458712,-1195.2,-81.7920703125,2390.4
2020-04-05,2020-04-11,-19.666666666666668,236.00240071613464,909.910169813368,68243.33333333334
2020-04-12,2020-04-18,-1.6199951171875,-824.0013970269032,-132.59989420572916,-8926.666666666666
2020-04-19,2020-04-25,10.699991861979166,-10.800048828124773,193.280078125,-320.0
2020-04-26,2020-05-02,6.44000244140625,-689.4444444444445,-294.23370361328125,22143.333333333336
2020-05-03,2020-05-09,-2.84000244140625,-1.7599731445315001,20.72,-1302.4
2020-05-10,2020-05-16,14.8,97.91997070312527,-48.379999999999995,-393.59999999999997
2020-05-17,2020-05-23,-11.875,780.43973388672,729.3,28906.8
2020-05-24,2020-05-30,-17.9,-41.62496566772461,101.71880722045898,843.75
2020-05-31,2020-06-06,0.975006103515625,-26.87998046875,45.7801025390625,336.0
2020-06-07,2020-06-13,-4.1800048828125,-224.74933624267783,-700.1496810913086,30305.0
2020-06-14,2020-06-20,-10.04000244140625,56.800000000000004,-165.287861328125,4032.7999999999997
2020-06-21,2020-06-27,-158.94359760284425,40.479919433594,-24.83983154296875,1012.0
2020-06-28,2020-07-04,156.3836000442505,155649.37748991014,126149.2747449657,3048585.863794861
2020-07-05,2020-07-11,12.5,162019.69605577466,118587.1938503429,3261320.751773987
2020-07-12,2020-07-18,-10.5,-248.6402709960925,101.3759375,5683.200000000001
2020-07-19,2020-07-25,-3.5500030517578125,-62.160180664061656,98.20854492187499,-16516.8
