first_day_in_week,last_day_in_week,ILDR_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.36
2019-04-21,2019-04-27,0.679998779296875,-0.320001220703125
2019-04-28,2019-05-04,0.3600006103515625,1.4
2019-05-05,2019-05-11,0.1,-0.25999755859375
2019-05-12,2019-05-18,-1.4399993896484375,-1.160003662109375
2019-05-19,2019-05-25,-0.2600006103515625,0.779998779296875
2019-05-26,2019-06-01,-0.6600006103515625,-0.879998779296875
2019-06-02,2019-06-08,0.24000244140625,0.379998779296875
2019-06-09,2019-06-15,-0.220001220703125,-2.1
2019-06-16,2019-06-22,1.0,-1.7
2019-06-23,2019-06-29,0.0399993896484375,2.920001220703125
2019-06-30,2019-07-06,0.120001220703125,-3.420001220703125
2019-07-07,2019-07-13,-1.2800018310546877,-2.3
2019-07-14,2019-07-20,-0.1,-4.139996337890636
2019-07-21,2019-07-27,-0.2,1.4599975585937728
2019-07-28,2019-08-03,1.14000244140625,2.9400024414062385
2019-08-04,2019-08-10,-0.3,-3.560003662109375
2019-08-11,2019-08-17,-0.520001220703125,-0.05999755859375
2019-08-18,2019-08-24,-2.020001220703125,-0.9
2019-08-25,2019-08-31,0.7,1.9200012207031136
2019-09-01,2019-09-07,0.18000183105468182,-0.32000122070311365
2019-09-08,2019-09-14,0.8999977111816477,0.4799987792968864
2019-09-15,2019-09-21,0.5,0.125
2019-09-22,2019-09-28,0.0500030517578125,-1.5200012207031364
2019-09-29,2019-10-05,-0.7999979654947916,-3.149993896484375
2019-10-06,2019-10-12,0.8666636149088637,3.6666666666666665
2019-10-13,2019-10-19,0.06666564941405302,3.466664632161477
2019-10-20,2019-10-26,0.1,-2.466664632161477
2019-10-27,2019-11-02,-1.0,-1.25999755859375
2019-11-03,2019-11-09,-2.0999984741210938,-1.74000244140625
2019-11-10,2019-11-16,0.1,-1.2399993896484376
2019-11-17,2019-11-23,0.2800003051757784,2.0800018310546875
2019-11-24,2019-11-30,0.8799987792968835,6.439996337890625
2019-12-01,2019-12-07,0.2200012207031136,-1.279998779296875
2019-12-08,2019-12-14,1.439999389648443,1.04000244140625
2019-12-15,2019-12-21,-0.920001220703125,1.239996337890625
2019-12-22,2019-12-28,-0.45999755859375,1.660003662109375
2019-12-29,2020-01-04,-0.44000244140625,-1.8800048828125
2020-01-05,2020-01-11,-0.39999847412109374,0.64000244140625
2020-01-12,2020-01-18,-0.5800003051757813,1.3
2020-01-19,2020-01-25,0.5800003051757813,-1.3
2020-01-26,2020-02-01,0.259999084472662,-1.75999755859375
2020-02-02,2020-02-08,0.7399993896484318,-1.820001220703125
2020-02-09,2020-02-15,2.920001220703125,-0.34000244140623864
2020-02-16,2020-02-22,-1.779998779296875,0.4999999999999886
2020-02-23,2020-02-29,-0.375,0.560003662109375
2020-03-01,2020-03-07,-0.9500007629394602,-8.925003051757812
2020-03-08,2020-03-14,-0.5600006103515568,-16.549999237060547
2020-03-15,2020-03-21,0.2,-4.380001831054687
2020-03-22,2020-03-28,-1.1399993896484404,5.0800018310546875
2020-03-29,2020-04-04,2.7999979654948057,11.539999389648438
2020-04-05,2020-04-11,-1.6000010172526136,-4.799997965494801
2020-04-12,2020-04-18,1.64000244140625,4.266662597656269
2020-04-19,2020-04-25,1.76666259765625,-1.9199981689453183
2020-04-26,2020-05-02,0.0,3.899998982747396
2020-05-03,2020-05-09,-5.899993896484375,-2.2
2020-05-17,2020-05-23,1.9499969482421875,0.019998168945318185
2020-05-24,2020-05-30,-0.7399993896484318,-2.424999237060547
2020-05-31,2020-06-06,-0.599998474121108,0.4399993896484375
2020-06-07,2020-06-13,0.6199981689453182,1.4500007629394531
2020-06-14,2020-06-20,0.4,-1.1399993896484375
2020-06-21,2020-06-27,0.26000041961669923,2.079998779296875
2020-06-28,2020-07-04,-0.0799985885620174,-0.2200000762939453
2020-07-05,2020-07-11,0.6799987792968807,0.02000007629394531
2020-07-12,2020-07-18,1.939999389648437,7.060000610351563
2020-07-19,2020-07-25,-0.375,2.120001220703114
