first_day_in_week,last_day_in_week,PTCH_main_symb_weekly_mean_diff,GLPL.TA_weekly_mean_diff_0.36,PTNR.TA_weekly_mean_diff_0.37,DISI.TA_weekly_mean_diff_0.38,EVGN.TA_weekly_mean_diff_0.38,CEL.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,-0.9200073242187272,0.2800048828125,1.0,-2.35999755859375,-9.15999755859375,6.2
2019-03-17,2019-03-23,-15.199993896484376,-0.4,-32.8,-25.94000244140625,-1.5800048828125,-51.6
2019-03-24,2019-03-30,-5.94000244140625,-8.02000732421875,0.0,-5.94000244140625,-7.27999267578125,-8.6
2019-03-31,2019-04-06,16.279998779296893,8.460009765625,18.8,-1.87999267578125,28.4199951171875,6.2
2019-04-07,2019-04-13,-5.879998779296898,-2.14000244140625,20.6,-8.8800048828125,0.7800048828125,9.8
2019-04-14,2019-04-20,12.860003662109351,2.15999755859375,0.4,-0.64000244140625,-0.42000732421875,33.0
2019-04-21,2019-04-27,1.2599975585937728,0.7,17.0,12.64000244140625,-1.87999267578125,17.2
2019-04-28,2019-05-04,-0.2199951171875,-0.9,-11.6,-6.3,-22.2800048828125,-35.2
2019-05-05,2019-05-11,-2.320007324218728,-0.3800048828125,19.2,1.4800048828125,-1.15999755859375,18.0
2019-05-12,2019-05-18,0.7400024414062273,0.9800048828125,19.6,4.7,-10.7800048828125,15.4
2019-05-19,2019-05-25,-6.2800048828125,1.8800048828125,-10.0,-3.060009765625,2.5800048828125,-14.2
2019-05-26,2019-06-01,-4.959997558593738,2.07999267578125,-20.2,-5.07999267578125,-12.680004882812478,-39.0
2019-06-02,2019-06-08,-0.9,-4.57999267578125,-23.2,-14.74000244140625,-5.359997558593773,-41.4
2019-06-09,2019-06-15,-6.3399963378906365,-0.42000732421875,17.8,-10.44000244140625,2.0,-2.6
2019-06-16,2019-06-22,-0.24000244140625,2.04000244140625,-16.2,-17.6199951171875,0.1800048828125,-15.8
2019-06-23,2019-06-29,6.660003662109375,-3.0,-4.4,6.05999755859375,3.439990234375,-9.8
2019-06-30,2019-07-06,-4.34000244140625,0.0,1.0,16.0199951171875,-0.3799926757812727,-6.0
2019-07-07,2019-07-13,-5.240002441406238,-7.2199951171875,14.2,-5.47999267578125,-2.8400024414062273,13.6
2019-07-14,2019-07-20,1.2400024414062387,5.4199951171875,9.4,-5.4800048828125,-2.4599975585937726,16.6
2019-07-21,2019-07-27,-9.720001220703123,-2.9800048828125,-29.6,-2.6199951171875,-2.620007324218727,-20.4
2019-07-28,2019-08-03,-0.6200012207031136,-1.6199951171875,-12.4,-8.24000244140625,-6.3199951171875,-8.4
2019-08-04,2019-08-10,-2.1,-1.8199951171875,-9.8,-8.759997558593772,10.740002441406228,-19.4
2019-08-11,2019-08-17,5.2,-7.24000244140625,6.8,-4.759997558593727,1.0,-15.14000244140625
2019-08-18,2019-08-24,3.760003662109364,2.45999755859375,11.4,8.85999755859375,2.359997558593773,2.32000732421875
2019-08-25,2019-08-31,-7.6,-0.0199951171875,8.2,-8.880004882812477,0.3800048828125,-3.6
2019-09-01,2019-09-07,-0.479998779296875,-6.4,0.8,10.480004882812477,8.9199951171875,-7.3800048828125
2019-09-08,2019-09-14,-1.0500030517578125,0.0199951171875,-2.2,-1.7800048828125,-4.4800048828125,-7.25999755859375
2019-09-15,2019-09-21,-0.34000244140623864,5.774993896484375,-1.0,-0.4749908447265625,-0.375,0.8000030517578125
2019-09-22,2019-09-28,2.25,-8.3,37.0,-2.160009765625,-0.439990234375,45.5199951171875
2019-09-29,2019-10-05,4.366668701171856,4.0,-43.0,0.1500244140625,0.5,-20.75
