first_day_in_week,last_day_in_week,PTCH_main_symb_weekly_mean_diff,GLPL.TA_weekly_mean_diff_0.36,PTNR.TA_weekly_mean_diff_0.37,DISI.TA_weekly_mean_diff_0.38,EVGN.TA_weekly_mean_diff_0.38,CEL.TA_weekly_mean_diff_0.42
2019-10-06,2019-10-12,-6.733327229817707,4.366678873697917,2.6666666666666665,-4.800008138020833,0.6999918619791666,-4.333333333333333
2019-10-13,2019-10-19,8.733327229817709,-0.20001220703125,-5.666666666666667,4.833333333333333,-4.23333740234375,6.066670735677083
2019-10-20,2019-10-26,-0.8,1.0666707356770833,-8.0,-1.0999959309896212,4.26666259765625,-16.633341471354168
2019-10-27,2019-11-02,-0.6200012207031136,-0.07999267578125,2.4,15.159997558593773,-7.6,1.74000244140625
2019-11-03,2019-11-09,-5.0,1.75999755859375,-21.8,-2.9,1.1,-18.04000244140625
2019-11-10,2019-11-16,-4.939996337890637,-4.3800048828125,12.6,-9.5,-8.2199951171875,10.9
2019-11-17,2019-11-23,-1.120001220703125,4.32000732421875,9.0,8.0,-1.420001220703125,26.9
2019-11-24,2019-11-30,1.54000244140625,9.2199951171875,6.6,-5.74000244140625,-4.45999755859375,-2.05999755859375
2019-12-01,2019-12-07,-2.5800048828125,-12.9,-24.0,4.9,-6.279998779296875,-6.819995117187522
2019-12-08,2019-12-14,-1.279998779296875,16.94000244140625,5.2,-0.5,10.939996337890625,19.319995117187524
2019-12-15,2019-12-21,-5.339996337890625,-0.54000244140625,-7.6,3.55999755859375,-9.55999755859375,-19.8
2019-12-22,2019-12-28,6.95999755859375,-2.1,-2.2,-4.2199951171875,18.8200012207031,17.2
2019-12-29,2020-01-04,-4.420001220703125,0.35999755859375,-1.4,1.9800048828125,4.259997558593772,2.4
2020-01-05,2020-01-11,-0.079998779296875,3.0800048828125,-13.0,-1.34000244140625,9.6,-10.64000244140625
2020-01-12,2020-01-18,3.3,1.6199951171875,12.4,-1.1,-5.8,20.64000244140625
2020-01-19,2020-01-25,-8.179998779296875,-0.67999267578125,2.8,8.55999755859375,-2.44000244140625,13.0
2020-01-26,2020-02-01,0.439996337890625,-5.82000732421875,11.8,1.1199951171875,-7.899999999999977,18.0
2020-02-02,2020-02-08,5.6,10.32000732421875,31.6,17.7800048828125,-7.859997558593773,23.4
2020-02-09,2020-02-15,-15.6,-5.860009765625,-23.6,7.3,-0.35999755859375,9.6
2020-02-16,2020-02-22,2.5200012207031364,0.04000244140625,29.2,2.14000244140625,3.65999755859375,-1.4
2020-02-23,2020-02-29,-9.875000000000009,-9.25999755859375,-5.4,-19.45999755859375,-10.0,-28.0
2020-03-01,2020-03-07,-23.87500000000001,-11.350006103515625,-38.25,-21.95001220703125,-13.400001525878906,-46.75
2020-03-08,2020-03-14,-6.519998168945316,-43.274993896484375,-69.75,-59.32499694824219,-21.900001525878906,-73.75
2020-03-15,2020-03-21,-0.6600006103515597,-6.979998779296875,0.6,-9.839996337890625,-4.579998779296875,22.0
2020-03-22,2020-03-28,4.2,16.279998779296875,21.6,1.779998779296875,14.160003662109375,6.24000244140625
2020-03-29,2020-04-04,3.2999979654947915,12.540002441406227,-23.8,12.9,-4.84000244140625,26.15999755859375
2020-04-05,2020-04-11,5.200002034505208,21.900004069010453,56.666666666666664,6.400004069010417,11.033335367838541,82.33333333333333
2020-04-12,2020-04-18,-0.3,6.29998779296875,0.3333333333333333,10.566660563151041,4.26666259765625,-46.333333333333336
2020-04-19,2020-04-25,4.533335367838542,9.14000244140625,-5.6,10.979998779296887,-3.979998779296875,5.4
2020-04-26,2020-05-02,-0.3600006103515625,-4.400004069010417,41.0,19.966674804687443,2.133331298828125,30.0
2020-05-03,2020-05-09,2.6199981689453127,-6.25999755859375,-1.6,-0.22000732421872726,4.120001220703125,-14.2
2020-05-10,2020-05-16,-1.4199981689453125,-4.0,-3.4,-7.5199951171875,-6.840002441406239,-5.4
2020-05-17,2020-05-23,-3.0250015258789062,6.5800048828125,-4.6,-5.640002441406239,3.2,-10.6
2020-05-24,2020-05-30,0.1,-13.100006103515625,-6.0,5.225006103515611,-2.774993896484389,-9.75
2020-05-31,2020-06-06,-5.5249977111816415,0.3800048828125,-24.4,-9.860003662109374,5.85999755859375,5.2
2020-06-07,2020-06-13,0.179998779296875,-1.975006103515625,34.75,0.27500152587890625,-9.949996948242188,32.0
2020-06-14,2020-06-20,-7.880000305175781,0.5199951171875,16.0,-1.620001220703125,-3.0800048828125,13.6
2020-06-21,2020-06-27,1.8800004959106444,4.660009765625,-14.6,-2.039996337890625,5.0800048828125,8.0
2020-06-28,2020-07-04,-1.7600008010864232,-6.660006713867165,6.99999771118164,5.719993591308594,-7.44000244140625,6.400001525878906
2020-07-05,2020-07-11,-0.4399993896484403,-1.4799957275390851,-35.59999771118164,-9.659996032714844,1.920001220703125,-15.000001525878906
2020-07-12,2020-07-18,2.019999694824219,0.27999267578125,18.2,4.9,0.85999755859375,19.6
2020-07-19,2020-07-25,-0.07499885559082388,-0.25999755859375,-21.4,7.479998779296875,5.9,-18.8
