first_day_in_week,last_day_in_week,DLRL_main_symb_weekly_mean_diff,RLCO.TA_weekly_mean_diff_0.36
2019-03-03,2019-03-09,-8.4,-22.2
2019-03-10,2019-03-16,8.0,16.8
2019-03-17,2019-03-23,-2.6,-3.2
2019-03-24,2019-03-30,3.2,1.2
2019-03-31,2019-04-06,-11.4,27.6
2019-04-07,2019-04-13,-2.6,27.2
2019-04-14,2019-04-20,-3.6,-33.4
2019-04-21,2019-04-27,-6.6,-23.4
2019-04-28,2019-05-04,-3.4,22.6
2019-05-05,2019-05-11,-25.8,-9.2
2019-05-12,2019-05-18,11.180004882812476,10.0
2019-05-19,2019-05-25,-11.520007324218726,0.0
2019-05-26,2019-06-01,15.74000244140625,9.8
2019-06-02,2019-06-08,-5.44000244140625,-9.8
2019-06-09,2019-06-15,4.059997558593773,-2.0
2019-06-16,2019-06-22,-1.6599975585937727,-0.8
2019-06-23,2019-06-29,-1.1400024414062273,4.2
2019-06-30,2019-07-06,-11.639990234375027,7.0
2019-07-07,2019-07-13,-15.24000244140625,-32.2
2019-07-14,2019-07-20,10.9199951171875,-2.4
2019-07-21,2019-07-27,0.52000732421875,29.8
2019-07-28,2019-08-03,-15.44000244140625,-3.0
2019-08-04,2019-08-10,-5.15999755859375,-8.0
2019-08-11,2019-08-17,14.17999267578125,10.2
2019-08-18,2019-08-24,7.42000732421875,2.8
2019-08-25,2019-08-31,19.6199951171875,11.8
2019-09-01,2019-09-07,-1.1,-23.2
2019-09-08,2019-09-14,-3.7749938964844034,-2.0
2019-09-15,2019-09-21,-0.9400024414062272,21.5
2019-09-22,2019-09-28,7.649993896484375,-1.0
2019-09-29,2019-10-05,-2.6999918619792047,-33.5
2019-10-06,2019-10-12,2.799987792968788,24.666666666666668
2019-10-13,2019-10-19,-20.23333740234375,0.3333333333333333
2019-10-20,2019-10-26,-1.65999755859375,-32.333333333333336
2019-10-27,2019-11-02,12.7800048828125,5.0
2019-11-03,2019-11-09,-13.7800048828125,18.0
2019-11-10,2019-11-16,-8.77999267578125,-2.6
2019-11-17,2019-11-23,-6.54000244140625,19.2
2019-11-24,2019-11-30,-9.4800048828125,17.0
2019-12-01,2019-12-07,10.04000244140625,14.2
2019-12-08,2019-12-14,-2.8800048828125,5.8
2019-12-15,2019-12-21,6.84000244140625,-0.2
2019-12-22,2019-12-28,19.159997558593773,-45.0
2019-12-29,2020-01-04,3.2400024414062267,-5.4
2020-01-05,2020-01-11,-2.4199951171875,28.6
2020-01-12,2020-01-18,-24.92000732421875,2.2
2020-01-19,2020-01-25,-2.9199951171875,-29.2
2020-01-26,2020-02-01,-5.4,-8.2
2020-02-02,2020-02-08,12.1800048828125,30.0
2020-02-09,2020-02-15,-4.04000244140625,9.6
2020-02-16,2020-02-22,-6.82000732421875,-3.6
2020-02-23,2020-02-29,-4.0,-64.0
2020-03-01,2020-03-07,-43.09999084472659,-59.0
2020-03-08,2020-03-14,5.159997558593774,-85.25
2020-03-15,2020-03-21,2.5199951171875,-35.2
2020-03-22,2020-03-28,29.8800048828125,93.8
2020-03-29,2020-04-04,12.9666748046875,-7.2
2020-04-05,2020-04-11,-3.0,20.0
2020-04-12,2020-04-18,-18.22000732421875,-43.666666666666664
2020-04-19,2020-04-25,15.900004069010414,36.2
2020-04-26,2020-05-02,-16.5,-33.666666666666664
2020-05-03,2020-05-09,-18.1199951171875,-16.8
2020-05-10,2020-05-16,-1.860009765625,-21.8
2020-05-17,2020-05-23,-1.399993896484375,18.0
2020-05-24,2020-05-30,7.5,39.0
2020-05-31,2020-06-06,7.25,-22.8
2020-06-07,2020-06-13,-7.4800048828125,18.25
2020-06-14,2020-06-20,-5.4,-12.2
2020-06-21,2020-06-27,-18.999994659423827,-9.4
2020-06-28,2020-07-04,-8.460002899169911,3.4000152587890624
2020-07-05,2020-07-11,2.360003662109364,1.7999847412109375
2020-07-12,2020-07-18,9.779998779296877,6.6
